"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.46,40.06,342,285,534,649,580,720,650,740
3.1,22.46,40.06,342,285,534,650,581,721,651,742
3.2,22.46,40.1,342,285,534,650,582,721,651,741
3.3,22.46,40.1,342,284,534,650,581,721,651,741
3.39,22.46,40.1,342,285,535,649,581,719,650,740
3.49,22.46,40.1,342,284,534,650,581,720,650,740
3.59,22.46,40.1,342,284,534,650,581,720,649,740
3.71,22.46,40.1,343,285,534,651,581,721,651,741
3.81,22.46,40.1,344,285,535,650,582,721,651,741
3.9,22.46,40.1,342,285,535,650,580,719,649,740
4,22.46,40.1,342,285,535,649,580,720,650,740
4.1,22.46,40.1,343,284,534,650,581,720,650,741
4.2,22.46,40.1,342,284,535,649,581,720,650,740
4.3,22.46,40.1,342,284,534,650,580,720,649,740
4.4,22.46,40.1,342,284,535,649,581,720,650,740
4.5,22.46,40.1,342,284,535,650,581,720,650,740
4.6,22.46,40.1,342,285,535,650,581,721,650,741
4.7,22.46,40.1,342,284,534,650,582,721,651,741
4.8,22.46,40.1,342,285,535,651,581,721,651,741
4.9,22.46,40.1,342,285,535,650,581,721,651,741
5,22.46,40.1,342,285,534,650,581,720,650,740
5.1,22.46,40.1,343,285,534,649,580,720,650,740
5.2,22.46,40.1,342,284,535,650,581,720,650,741
5.3,22.45,40.1,342,284,534,650,581,720,650,740
5.4,22.45,40.1,342,285,534,650,581,720,650,741
5.5,22.45,40.1,343,284,534,650,581,720,650,741
5.6,22.45,40.1,342,285,535,650,581,720,650,741
5.7,22.45,40.1,342,285,534,650,581,720,650,741
5.8,22.45,40.1,342,284,535,649,581,720,650,740
5.9,22.45,40.1,343,285,535,650,581,720,650,741
6,22.45,40.1,343,285,535,651,581,720,650,741
6.1,22.45,40.1,343,284,535,650,581,721,650,741
6.2,22.45,40.1,342,285,535,650,581,721,652,742
6.3,22.44,40.09,342,285,535,651,581,721,651,742
6.39,22.44,40.09,342,285,535,649,581,720,650,741
6.51,22.44,40.09,342,284,534,650,581,720,650,741
6.59,22.44,40.09,343,284,535,650,581,720,650,741
6.71,22.44,40.09,344,285,535,650,581,721,651,742
6.81,22.44,40.09,342,285,535,650,582,721,651,742
6.91,22.44,40.09,342,284,534,650,581,721,651,742
7.01,22.44,40.09,343,284,534,650,581,720,650,740
7.11,22.44,40.09,342,284,535,650,580,720,650,741
7.21,22.44,40.09,342,285,534,650,581,720,650,741
7.31,22.46,40.1,342,284,534,649,581,720,650,741
7.4,22.46,40.1,343,285,534,650,581,720,650,741
7.5,22.46,40.1,342,285,535,650,581,721,651,742
7.6,22.46,40.1,345,285,535,650,581,720,651,741
7.7,22.46,40.1,342,285,535,650,582,721,651,742
7.8,22.46,40.1,343,284,535,650,581,721,651,742
7.91,22.46,40.1,342,285,534,649,581,720,650,740
8.01,22.46,40.1,343,285,535,650,581,720,650,740
8.11,22.46,40.1,342,285,535,650,582,721,651,742
8.21,22.46,40.1,342,285,534,650,581,720,652,742
8.31,22.45,40.1,343,284,534,651,582,720,651,742
8.4,22.45,40.1,342,285,535,650,581,720,650,741
8.5,22.45,40.1,342,284,535,649,581,720,650,741
8.6,22.45,40.1,342,285,535,650,581,719,650,741
8.7,22.45,40.1,342,285,534,650,581,720,650,741
8.81,22.45,40.1,343,285,535,650,581,720,650,740
8.91,22.45,40.1,342,285,534,650,581,720,650,741
9.01,22.45,40.1,342,284,535,650,581,719,650,741
9.11,22.45,40.1,342,285,534,650,581,720,651,741
9.21,22.45,40.1,344,284,534,651,581,720,650,741
9.31,22.46,40.1,343,285,535,650,581,720,650,741
9.41,22.46,40.1,342,284,535,650,581,720,650,741
9.51,22.46,40.1,342,285,535,651,581,721,651,742
9.61,22.46,40.1,342,284,535,651,582,720,651,742
9.71,22.46,40.1,342,285,534,650,582,720,651,742
9.81,22.46,40.1,342,285,534,651,581,720,651,743
9.91,22.46,40.1,342,285,535,650,581,720,651,742
10.01,22.46,40.1,342,285,535,650,581,720,651,742
10.11,22.46,40.1,343,285,534,650,581,719,650,741
10.21,22.46,40.1,341,285,535,650,581,720,650,741
10.31,22.46,40.03,344,285,535,650,581,720,650,741
10.4,22.46,40.03,342,285,535,650,581,720,651,742
10.5,22.46,40.03,342,285,535,651,582,721,652,743
10.6,22.46,40.03,342,284,535,651,582,721,652,743
10.68,22.46,40.03,342,285,535,651,581,720,650,742
10.68,22.46,40.03,342,285,535,651,581,720,650,742
10.68,22.46,40.03,342,285,535,651,581,720,650,742
11.19,22.46,40.03,342,285,535,651,581,720,651,742
11.19,22.46,40.03,342,285,535,651,581,720,651,742
11.2,22.46,40.03,342,285,535,651,582,719,651,742
11.3,22.46,40.03,344,285,535,650,581,720,651,743
11.4,22.45,40.06,343,285,534,650,581,720,651,742
11.5,22.45,40.06,342,285,535,651,582,720,651,742
11.6,22.45,40.06,342,285,534,651,581,720,651,742
11.7,22.45,40.06,342,285,534,651,582,720,652,742
11.8,22.45,40.06,343,284,534,651,582,720,652,742
11.9,22.45,40.06,343,285,535,651,583,721,653,743
12,22.45,40.06,345,285,536,651,583,721,653,744
12.11,22.45,40.06,343,285,535,651,582,720,652,743
12.2,22.45,40.06,343,285,535,651,582,720,652,743
12.3,22.45,40.06,342,285,535,651,583,721,653,743
12.4,22.46,40.03,343,285,535,651,582,721,652,743
12.5,22.46,40.03,345,285,535,651,582,720,652,743
12.6,22.46,40.03,343,285,536,652,582,720,652,743
12.7,22.46,40.03,344,285,535,652,582,720,652,743
12.8,22.46,40.03,343,285,536,651,583,721,652,743
12.9,22.46,40.03,345,285,535,651,583,721,652,744
13.01,22.46,40.03,345,285,536,651,582,720,652,743
13.11,22.46,40.03,343,285,535,651,582,720,653,743
13.21,22.46,40.03,343,285,536,652,582,721,652,743
13.31,22.46,40.03,345,285,535,652,582,721,653,743
13.41,22.45,40.03,343,284,536,652,583,721,653,743
13.51,22.45,40.03,343,285,535,652,583,721,653,744
13.61,22.45,40.03,343,285,536,652,583,721,653,744
13.71,22.45,40.03,343,285,535,652,582,721,653,743
13.8,22.45,40.03,343,285,536,652,582,720,653,744
13.9,22.45,40.03,343,285,536,651,583,721,653,744
13.99,22.45,40.03,343,284,535,652,583,720,653,744
14.11,22.45,40.03,343,285,536,652,583,722,655,745
