"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.46,41.44,340,275,532,598,597,740,662,755
3.1,22.46,41.44,340,276,531,599,596,740,661,755
3.2,22.46,41.44,341,275,531,598,596,740,661,755
3.31,22.46,41.44,340,275,531,598,596,741,661,755
3.41,22.46,41.44,343,276,532,599,596,740,661,755
3.5,22.46,41.44,341,275,532,599,597,740,661,755
3.6,22.46,41.44,342,275,531,598,596,740,661,755
3.7,22.46,41.44,340,276,531,599,596,740,661,755
3.8,22.46,41.44,341,275,531,598,596,740,661,755
3.9,22.46,41.44,340,275,531,598,596,740,661,755
4,22.46,41.44,340,275,531,598,596,740,661,756
4.1,22.46,41.44,341,275,532,598,596,740,661,755
4.2,22.47,41.44,340,276,531,599,596,740,662,756
4.31,22.47,41.44,341,276,532,599,596,740,661,756
4.4,22.47,41.44,341,275,531,599,596,740,661,756
4.51,22.47,41.44,343,275,531,598,596,740,661,756
4.61,22.47,41.44,343,275,532,599,596,740,661,756
4.7,22.47,41.44,341,276,531,599,596,740,661,755
4.8,22.47,41.44,341,275,531,598,597,740,662,755
4.9,22.47,41.44,340,276,532,598,596,740,661,755
5,22.47,41.44,340,275,531,598,596,740,661,755
5.11,22.47,41.44,341,275,531,597,596,740,661,755
5.21,22.47,41.44,340,275,531,598,597,740,661,755
5.3,22.46,41.44,340,275,531,598,596,739,661,755
5.4,22.46,41.44,340,275,531,598,596,740,661,755
5.5,22.46,41.44,340,275,532,598,596,740,661,755
5.6,22.46,41.44,341,276,531,598,596,740,661,756
5.7,22.46,41.44,340,275,531,598,596,740,661,755
5.8,22.46,41.44,341,275,532,598,596,740,661,755
5.9,22.46,41.44,340,275,531,598,597,739,661,755
6,22.46,41.44,340,276,531,598,596,739,661,755
6.1,22.46,41.44,340,275,532,598,596,739,661,756
6.2,22.46,41.44,340,275,531,598,596,740,661,755
6.3,22.46,41.43,341,275,531,598,596,740,661,756
6.4,22.46,41.43,341,275,531,598,596,739,661,755
6.5,22.46,41.43,343,275,531,598,596,739,662,755
6.6,22.46,41.43,343,275,532,598,596,739,661,756
6.71,22.46,41.43,340,275,531,598,596,740,662,755
6.81,22.46,41.43,340,275,531,598,596,740,661,756
6.9,22.46,41.43,340,275,531,598,596,739,662,755
7,22.46,41.43,340,275,531,598,596,740,661,755
7.1,22.46,41.43,341,275,531,598,596,739,661,756
7.2,22.46,41.43,341,275,532,598,596,739,661,756
7.31,22.46,41.44,341,275,531,598,597,740,661,755
7.4,22.46,41.44,341,275,531,598,596,740,661,756
7.5,22.46,41.44,341,275,531,598,596,739,661,756
7.6,22.46,41.44,342,275,531,598,596,739,662,756
7.7,22.46,41.44,341,275,532,598,596,739,661,756
7.81,22.46,41.44,341,275,531,598,596,740,661,756
7.91,22.46,41.44,340,275,532,598,597,739,662,756
8,22.46,41.44,341,275,532,598,596,740,661,756
8.1,22.46,41.44,341,276,531,598,596,739,662,756
8.19,22.46,41.44,341,275,532,598,596,739,662,756
8.3,22.46,41.44,343,275,532,598,597,739,662,756
8.4,22.46,41.44,342,275,531,598,596,739,662,756
8.5,22.46,41.44,341,275,532,598,596,740,662,756
8.6,22.46,41.44,342,275,531,598,596,740,662,756
8.7,22.46,41.44,340,275,532,598,596,740,662,756
8.8,22.46,41.44,341,275,531,598,597,740,662,756
8.91,22.46,41.44,341,275,532,598,596,740,662,756
9.01,22.46,41.44,340,275,531,598,597,739,662,756
9.1,22.46,41.44,340,276,532,598,597,739,662,756
9.2,22.46,41.44,341,275,531,598,597,740,662,756
9.3,22.45,41.44,341,275,531,598,597,740,662,757
9.4,22.45,41.44,341,275,532,598,597,740,663,757
9.5,22.45,41.44,343,275,532,598,596,740,662,757
9.59,22.45,41.44,341,275,531,598,597,740,663,757
9.7,22.45,41.44,341,275,531,599,597,740,662,757
9.8,22.45,41.44,341,275,531,598,597,740,663,757
9.9,22.45,41.44,341,276,531,598,597,739,663,757
10,22.45,41.44,341,275,532,598,597,739,662,757
10.1,22.45,41.44,342,275,532,599,597,740,662,757
10.2,22.45,41.44,341,275,532,599,597,740,663,757
10.3,22.45,41.44,341,275,532,599,598,740,663,758
10.4,22.45,41.44,343,275,531,598,598,740,663,757
10.51,22.45,41.44,341,275,532,599,597,740,663,758
10.59,22.45,41.44,341,275,532,598,597,740,663,757
10.7,22.45,41.44,342,276,532,599,598,741,663,758
10.8,22.45,41.44,341,275,532,599,597,740,663,758
10.9,22.45,41.44,341,276,532,598,598,739,663,758
11,22.45,41.44,341,275,532,598,598,740,663,758
11.1,22.45,41.44,341,275,532,598,597,740,663,758
11.2,22.45,41.44,341,276,532,599,597,740,663,758
11.3,22.45,41.44,341,275,532,599,598,740,663,759
11.4,22.45,41.4,341,275,532,598,598,740,664,758
11.5,22.45,41.4,341,275,532,599,597,740,663,758
