"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.98,40.04,343,299,550,616,579,711,636,726
3.1,20.98,40.04,342,300,550,616,580,711,636,727
3.2,20.98,40.04,343,300,549,616,579,711,636,726
3.3,20.98,40.04,343,299,549,616,579,710,636,727
3.4,20.98,40.04,343,299,549,615,579,711,636,727
3.5,20.98,40.04,343,299,549,616,579,710,636,727
3.6,20.98,40.04,343,299,549,616,579,710,636,727
3.7,20.98,40.04,344,299,549,616,579,711,636,727
3.8,20.98,40.04,343,299,549,616,579,711,636,727
3.9,20.97,40.01,343,299,550,616,579,711,636,727
4,20.97,40.01,343,299,549,616,580,710,637,727
4.1,20.97,40.01,344,299,549,616,579,710,636,727
4.2,20.97,40.01,342,299,549,616,579,711,636,726
4.3,20.97,40.01,343,300,549,616,579,710,637,726
4.4,20.97,40.01,343,299,549,616,579,711,636,727
4.5,20.97,40.01,343,299,549,616,579,711,637,727
4.59,20.97,40.01,343,299,549,616,579,710,636,727
4.71,20.97,40.01,345,299,549,616,579,711,637,727
4.81,20.97,40.01,343,299,549,615,579,710,637,726
4.89,20.98,40.07,344,299,550,616,579,711,636,727
5.01,20.98,40.07,343,299,549,616,579,710,637,727
5.11,20.98,40.07,344,299,550,616,580,711,636,726
5.21,20.98,40.07,343,300,549,616,579,711,637,727
5.29,20.98,40.07,345,299,549,616,579,711,637,726
5.41,20.98,40.07,343,299,550,616,579,710,637,727
5.51,20.98,40.07,343,299,549,616,579,711,637,727
5.59,20.98,40.07,343,299,549,616,579,710,637,727
5.71,20.98,40.07,343,299,549,616,579,710,637,727
5.81,20.98,40.07,345,299,549,615,579,711,636,727
5.91,20.97,40.07,343,299,549,616,579,711,637,726
6.01,20.97,40.07,343,299,549,616,580,710,637,727
6.11,20.97,40.07,343,299,549,615,580,711,637,727
6.19,20.97,40.07,343,299,549,616,579,710,637,727
6.29,20.97,40.07,343,299,549,615,579,711,637,727
6.41,20.97,40.07,343,299,550,616,579,711,637,727
6.51,20.97,40.07,343,300,549,616,580,710,637,727
6.61,20.97,40.07,343,299,550,616,579,711,637,727
6.69,20.97,40.07,343,299,549,616,579,710,637,727
6.81,20.97,40.07,343,299,549,616,579,711,637,727
6.89,20.97,40.07,343,299,549,616,579,711,637,727
7,20.98,40.11,343,299,549,616,579,711,637,727
7.11,20.98,40.11,343,299,550,616,579,710,637,727
7.21,20.98,40.11,344,298,549,616,579,711,637,727
7.31,20.98,40.11,343,299,549,616,579,710,638,727
7.39,20.98,40.11,343,299,549,616,579,711,637,727
7.51,20.98,40.11,343,299,549,616,579,711,637,728
7.61,20.98,40.11,344,299,550,616,579,711,637,727
7.71,20.98,40.11,346,299,550,617,579,711,637,727
7.81,20.98,40.11,343,299,550,616,580,711,637,727
7.91,20.98,40.14,343,299,550,616,580,711,638,727
8.01,20.98,40.14,346,299,550,616,579,711,638,728
8.09,20.98,40.14,344,299,550,616,579,711,637,728
8.21,20.98,40.14,343,299,550,616,580,711,637,728
8.31,20.98,40.14,344,299,550,617,580,711,637,727
8.39,20.98,40.14,344,299,550,616,580,710,638,728
8.49,20.98,40.14,343,299,550,616,579,711,638,728
8.61,20.98,40.14,344,299,550,617,579,711,637,728
8.71,20.98,40.14,344,299,549,617,580,711,638,727
8.81,20.98,40.14,344,299,550,617,580,711,638,728
8.89,20.98,40.14,344,299,550,617,579,711,638,728
9.01,20.98,40.11,344,299,550,617,580,711,638,728
9.11,20.98,40.11,344,299,550,617,580,711,637,728
9.21,20.98,40.11,346,299,550,617,579,711,638,728
9.31,20.98,40.11,344,299,551,617,580,711,638,728
9.39,20.98,40.11,344,299,551,617,579,711,638,728
9.51,20.98,40.11,344,299,550,617,580,711,638,728
9.59,20.98,40.11,345,299,550,618,580,711,638,728
9.71,20.98,40.11,344,299,550,617,580,711,638,728
9.81,20.98,40.11,344,299,550,617,580,711,638,728
9.91,20.98,40.11,344,299,550,617,580,711,639,728
10.01,20.98,40.11,345,299,550,618,580,711,638,728
10.09,20.98,40.11,344,299,550,618,580,711,638,728
10.21,20.98,40.11,344,299,551,617,580,711,638,728
10.31,20.98,40.11,344,299,551,618,580,711,639,728
10.41,20.98,40.11,344,299,550,618,580,711,638,728
10.51,20.98,40.11,344,299,551,618,580,711,638,728
10.61,20.98,40.11,344,299,551,618,580,712,639,728
10.71,20.98,40.11,346,299,551,618,580,711,639,728
10.81,20.98,40.11,344,298,551,618,580,711,638,728
10.91,20.98,40.11,344,298,551,619,580,711,639,729
11.01,20.96,40.11,344,299,551,618,581,711,639,728
11.11,20.96,40.11,347,299,551,618,580,711,639,729
11.21,20.96,40.11,344,298,551,618,580,711,638,728
11.31,20.96,40.11,344,299,551,619,580,712,639,728
11.41,20.96,40.11,344,299,551,619,580,711,639,729
11.51,20.96,40.11,345,299,552,618,580,711,638,729
11.61,20.96,40.11,344,299,552,619,581,711,639,729
11.71,20.96,40.11,345,299,551,618,580,712,639,729
11.8,20.96,40.11,345,299,551,618,581,711,639,729
11.91,20.96,40.11,345,299,551,619,580,712,639,729
12.01,20.97,40.14,344,299,552,619,581,712,639,728
12.11,20.97,40.14,345,298,551,619,580,711,639,729
12.21,20.97,40.14,347,299,551,619,580,712,639,729
12.31,20.97,40.14,345,299,551,618,580,711,639,729
12.41,20.97,40.14,345,299,551,619,580,711,639,729
12.51,20.97,40.14,344,299,551,619,581,712,639,729
12.59,20.97,40.14,344,299,551,619,581,712,639,729
12.71,20.97,40.14,344,299,551,619,580,712,639,729
12.81,20.97,40.14,344,299,552,619,581,712,640,729
12.91,20.97,40.14,346,299,552,620,581,712,639,729
13.01,20.98,40.14,344,299,551,619,581,712,639,730
13.11,20.98,40.14,345,299,551,620,580,712,640,729
13.21,20.98,40.14,344,299,552,620,581,712,639,729
13.29,20.98,40.14,345,299,551,620,581,712,639,729
13.39,20.98,40.14,346,299,552,620,581,712,639,729
13.51,20.98,40.14,345,298,552,620,581,712,640,729
13.61,20.98,40.14,346,299,552,620,581,712,639,729
13.71,20.98,40.14,345,299,552,620,581,712,639,730
13.81,20.98,40.14,345,299,552,620,581,712,639,729
13.91,20.98,40.14,345,299,551,620,581,712,640,730
14.01,20.97,40.14,346,298,552,620,581,712,639,730
14.11,20.97,40.14,345,299,552,620,581,712,639,729
14.21,20.97,40.14,345,298,552,621,581,712,640,729
14.31,20.97,40.14,346,299,552,621,581,712,639,730
14.41,20.97,40.14,346,299,551,621,581,712,640,729
14.51,20.97,40.14,345,299,552,621,581,712,639,729
14.61,20.97,40.14,346,298,552,621,581,712,640,730
14.71,20.97,40.14,345,299,552,621,581,712,640,730
14.81,20.97,40.14,345,299,553,621,581,712,640,729
14.91,20.97,40.14,345,299,553,621,581,712,640,729
15.01,20.97,40.14,345,299,552,621,581,712,640,730
15.11,20.96,40.14,345,299,552,621,581,712,640,729
15.19,20.96,40.14,344,299,553,622,582,712,640,730
15.31,20.96,40.14,345,299,553,622,582,712,640,730
15.41,20.96,40.14,345,299,552,621,581,712,640,730
15.51,20.96,40.14,345,298,552,622,581,712,640,730
15.61,20.96,40.14,345,299,552,621,581,712,640,730
15.71,20.96,40.14,345,299,552,622,581,712,640,730
15.81,20.96,40.14,345,299,552,622,581,713,640,730
15.91,20.96,40.14,346,299,553,621,582,713,640,729
16.01,20.96,40.14,345,299,553,622,582,712,640,730
16.09,20.96,40.14,347,300,553,622,581,712,640,730
16.21,20.96,40.14,346,299,553,622,582,713,640,730
16.31,20.96,40.14,345,298,553,622,582,712,640,730
16.41,20.96,40.14,345,299,552,622,582,712,640,730
16.51,20.96,40.14,345,299,553,623,582,713,639,730
16.6,20.96,40.14,345,299,553,622,582,712,640,730
16.7,20.96,40.14,345,299,552,622,581,712,640,730
16.8,20.96,40.14,345,298,552,623,582,713,640,730
16.9,20.96,40.14,345,298,552,623,582,712,640,730
17,20.96,40.14,345,298,552,623,581,712,640,730
17.1,20.96,40.14,345,299,552,622,582,712,640,730
17.2,20.96,40.14,345,299,552,622,582,713,640,730
17.3,20.96,40.14,345,298,552,623,581,713,640,730
17.4,20.96,40.14,346,299,552,623,582,713,640,730
17.5,20.96,40.14,345,299,553,623,582,712,640,730
17.6,20.96,40.14,345,299,552,623,582,713,640,730
17.7,20.96,40.14,345,299,552,623,583,712,640,730
17.8,20.96,40.14,345,298,553,623,582,712,640,730
17.9,20.96,40.14,345,298,553,623,582,712,640,730
18,20.96,40.14,347,299,552,623,582,713,640,731
18.1,20.97,40.14,345,298,552,624,582,712,640,730
18.2,20.97,40.14,345,299,553,624,582,713,640,731
18.3,20.97,40.14,347,298,553,624,582,713,640,730
18.4,20.97,40.14,345,298,552,624,582,713,640,730
18.5,20.97,40.14,346,299,552,624,582,713,640,730
18.6,20.97,40.14,345,299,553,623,582,713,640,730
18.7,20.97,40.14,347,299,553,624,582,713,640,731
18.8,20.97,40.14,345,298,552,624,582,713,640,731
18.9,20.97,40.14,345,298,552,624,582,713,640,731
19,20.97,40.14,345,299,552,624,582,713,640,730
19.1,20.97,40.17,345,299,553,624,582,713,640,730
19.2,20.97,40.17,345,298,552,624,582,713,640,730
19.3,20.97,40.17,345,299,552,624,583,713,640,730
19.4,20.97,40.17,345,299,553,624,582,712,640,730
19.5,20.97,40.17,345,298,553,624,582,713,640,730
19.6,20.97,40.17,345,298,552,624,582,713,639,731
19.7,20.97,40.17,345,298,553,624,582,713,640,730
19.8,20.97,40.17,345,299,552,625,582,713,640,730
19.9,20.97,40.17,347,299,553,625,582,713,640,730
