"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.94,42.13,343,305,551,657,585,715,647,738
3.1,20.94,42.13,344,305,551,658,584,716,648,738
3.2,20.94,42.13,344,304,551,658,585,716,647,738
3.3,20.94,42.13,343,305,551,658,584,716,647,738
3.4,20.94,42.13,344,305,551,658,585,716,647,738
3.5,20.94,42.13,345,304,551,657,585,716,647,738
3.6,20.94,42.13,344,305,551,657,585,716,647,738
3.7,20.94,42.13,345,305,551,658,585,716,647,738
3.8,20.94,42.13,344,305,551,658,584,716,647,738
3.9,20.94,42.13,343,305,551,658,585,716,647,738
4,20.94,42.13,343,305,551,657,585,716,647,738
4.1,20.94,42.13,344,304,550,658,585,716,647,738
4.2,20.94,42.13,343,305,550,657,584,716,647,738
4.3,20.94,42.13,343,305,550,657,585,716,647,738
4.4,20.94,42.07,344,305,551,657,585,716,648,738
4.5,20.94,42.07,344,305,551,657,584,716,647,738
4.6,20.94,42.07,343,305,551,658,585,716,647,738
4.7,20.94,42.07,344,305,551,658,584,716,648,738
4.8,20.94,42.07,344,305,551,658,584,716,647,738
4.9,20.94,42.07,344,305,550,657,584,716,647,738
5.01,20.94,42.07,343,305,551,658,585,716,647,738
5.1,20.94,42.07,343,304,550,658,584,716,647,738
5.2,20.94,42.07,343,305,550,658,585,716,647,738
5.3,20.94,42.07,344,305,551,658,584,716,647,737
5.4,20.94,42.13,346,305,550,658,584,716,647,738
5.5,20.94,42.13,344,304,551,657,584,716,647,737
5.6,20.94,42.13,343,304,550,658,584,716,647,738
5.7,20.94,42.13,344,305,551,658,584,716,647,738
5.8,20.94,42.13,344,305,550,658,585,716,647,738
5.9,20.94,42.13,343,305,551,658,585,716,647,738
6,20.94,42.13,344,305,551,657,585,716,647,738
6.1,20.94,42.13,343,305,550,658,585,716,647,738
6.2,20.94,42.13,344,304,550,658,584,716,647,738
6.3,20.94,42.13,343,305,551,658,584,716,647,738
6.4,20.95,42.13,344,305,550,658,585,716,647,738
6.5,20.95,42.13,344,304,551,658,585,716,648,738
6.6,20.95,42.13,343,305,550,658,584,716,647,738
6.7,20.95,42.13,343,305,550,658,584,716,647,738
6.8,20.95,42.13,343,305,551,658,584,716,647,738
6.89,20.95,42.13,345,305,551,658,584,716,648,738
7.01,20.95,42.13,344,305,550,658,584,716,647,738
7.09,20.95,42.13,344,305,551,658,585,716,648,738
7.19,20.95,42.13,344,305,550,658,585,716,647,738
