"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.3,40.54,327,303,530,619,552,675,608,694
3.1,20.3,40.53,327,303,530,619,552,675,608,695
3.2,20.3,40.53,327,302,530,619,552,675,608,695
3.3,20.3,40.53,327,303,531,620,552,675,608,695
3.4,20.3,40.53,328,302,530,619,552,675,608,694
3.5,20.3,40.53,327,303,531,619,552,674,608,694
3.61,20.3,40.53,328,302,530,619,552,675,608,695
3.69,20.3,40.53,328,302,530,619,552,675,608,694
3.8,20.3,40.53,327,302,530,619,552,675,608,694
3.9,20.3,40.53,327,302,529,619,552,675,608,695
3.99,20.3,40.53,327,303,530,619,552,675,608,694
4.1,20.29,40.54,328,302,530,619,553,675,608,695
4.2,20.29,40.54,328,303,530,619,552,675,608,695
4.3,20.29,40.54,327,302,530,619,552,675,608,695
4.4,20.29,40.54,327,302,530,619,552,675,608,695
4.5,20.29,40.54,327,302,530,619,552,675,608,695
4.6,20.29,40.54,327,303,531,619,552,675,608,695
4.7,20.29,40.54,328,303,530,619,552,675,608,695
4.8,20.29,40.54,328,302,530,619,552,675,608,695
4.9,20.29,40.54,328,302,531,619,552,674,609,694
5,20.29,40.54,327,302,530,618,552,675,608,695
5.1,20.31,40.53,327,303,529,619,552,675,608,695
5.2,20.31,40.53,328,302,530,619,553,675,608,695
5.3,20.31,40.53,327,303,529,619,552,675,608,694
5.4,20.31,40.53,327,302,530,619,552,675,609,695
5.5,20.31,40.53,328,302,529,619,552,675,609,694
5.61,20.31,40.53,327,303,530,619,552,675,608,695
5.7,20.31,40.53,327,303,530,619,552,675,608,694
5.8,20.31,40.53,329,302,530,619,552,675,608,695
5.88,20.31,40.53,327,303,531,618,552,675,609,695
5.88,20.31,40.53,327,303,531,618,552,675,609,695
5.88,20.31,40.53,327,303,531,618,552,675,609,695
6.38,20.31,40.54,328,302,530,619,552,674,608,695
6.38,20.31,40.54,328,302,530,619,552,674,608,695
6.39,20.31,40.54,329,302,530,619,552,675,608,694
6.49,20.31,40.54,327,302,529,619,552,675,608,694
6.6,20.31,40.54,330,302,530,619,552,675,608,695
6.7,20.31,40.54,327,302,530,619,551,675,608,694
6.8,20.31,40.54,328,303,530,619,552,675,608,695
6.9,20.31,40.54,328,302,530,619,551,675,608,695
7,20.31,40.54,327,302,530,619,552,675,608,695
7.1,20.3,40.54,327,301,530,619,551,675,608,695
7.2,20.3,40.54,329,302,530,619,552,675,609,695
7.3,20.3,40.54,328,302,530,619,552,675,608,695
7.4,20.3,40.54,327,302,531,619,552,675,608,695
7.5,20.3,40.54,327,302,531,619,552,675,608,695
7.6,20.3,40.54,330,302,530,618,552,675,608,695
7.7,20.3,40.54,327,302,530,618,552,675,608,695
7.8,20.3,40.54,327,302,530,619,552,674,608,695
7.91,20.3,40.54,327,301,530,619,551,675,609,695
8,20.3,40.54,327,302,530,619,552,675,608,695
8.1,20.3,40.54,327,302,530,619,552,675,609,695
8.2,20.3,40.54,327,302,530,619,552,675,608,695
8.3,20.3,40.54,327,301,530,619,552,675,609,695
8.4,20.3,40.54,327,301,531,619,552,675,608,695
8.5,20.3,40.54,327,302,530,619,552,674,608,695
8.6,20.3,40.54,327,302,530,619,552,675,609,695
8.7,20.3,40.54,329,302,530,619,552,675,609,695
8.8,20.3,40.54,328,302,530,620,552,675,609,695
8.9,20.3,40.54,328,301,530,620,552,675,609,695
9,20.3,40.54,327,302,530,619,552,675,608,695
9.1,20.3,40.5,329,302,531,619,552,674,609,695
9.2,20.3,40.5,327,302,530,619,552,675,609,695
9.3,20.3,40.5,327,301,530,619,553,675,608,695
9.4,20.3,40.5,327,301,531,619,552,675,609,695
9.5,20.3,40.5,327,301,531,619,552,674,609,695
9.6,20.3,40.5,327,302,530,619,553,675,608,695
