"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,20.17,39.45,321,283,518,583,558,689,612,702
3.1,20.17,39.45,321,284,518,583,558,689,612,703
3.2,20.17,39.45,321,283,519,584,558,689,612,703
3.3,20.17,39.45,321,283,518,583,558,690,613,703
3.4,20.17,39.45,323,283,518,584,558,690,613,703
3.51,20.17,39.45,321,283,518,583,558,689,613,703
3.6,20.17,39.45,322,283,517,584,558,689,612,703
3.7,20.17,39.45,321,283,518,584,558,689,612,703
3.8,20.17,39.45,321,283,518,584,558,689,612,703
3.9,20.17,39.45,323,283,518,584,558,689,613,703
4.01,20.16,39.45,322,283,518,584,558,689,613,703
4.09,20.16,39.45,321,283,518,584,558,689,613,703
4.2,20.16,39.45,321,283,519,584,558,689,612,703
4.3,20.16,39.45,322,283,518,584,558,689,613,703
4.4,20.16,39.45,321,283,518,584,558,689,613,703
4.5,20.16,39.45,321,283,518,584,558,689,613,703
4.6,20.16,39.45,321,284,518,584,558,689,613,703
4.7,20.16,39.45,321,283,518,584,558,689,613,703
4.8,20.16,39.45,324,284,518,584,558,689,613,703
4.9,20.16,39.45,322,283,518,584,558,689,613,703
5,20.16,39.45,323,283,519,585,558,689,613,703
5.11,20.16,39.45,321,283,518,585,558,689,613,704
5.21,20.16,39.45,321,284,518,585,559,689,613,703
5.3,20.16,39.45,321,283,519,585,559,689,613,704
5.41,20.16,39.45,322,283,519,585,558,689,613,703
5.5,20.16,39.45,322,283,518,585,558,689,613,703
5.6,20.16,39.45,322,284,519,585,558,689,613,703
5.71,20.16,39.45,322,283,518,585,558,689,613,703
5.8,20.16,39.45,323,284,519,585,559,689,613,704
5.9,20.16,39.45,322,283,518,585,559,690,613,704
6,20.16,39.45,322,284,518,586,558,690,613,704
6.09,20.16,39.45,322,284,519,586,558,690,613,704
6.2,20.16,39.45,324,283,518,585,558,690,613,703
6.3,20.16,39.45,322,284,519,585,558,689,613,704
6.4,20.16,39.45,322,283,519,586,558,689,614,704
6.5,20.16,39.45,322,284,519,586,559,689,613,704
6.6,20.16,39.45,322,283,518,586,558,689,614,704
6.7,20.16,39.45,322,283,519,586,558,689,614,703
6.8,20.16,39.45,321,283,518,586,559,690,614,704
6.9,20.16,39.45,322,283,518,586,558,690,614,704
7,20.16,39.45,321,283,519,586,558,690,614,704
7.11,20.16,39.45,323,283,518,586,559,689,613,704
7.21,20.16,39.45,322,284,519,587,558,689,614,704
7.3,20.16,39.45,322,283,518,586,559,690,614,704
7.4,20.16,39.45,322,283,519,587,558,690,614,704
7.5,20.16,39.45,322,284,518,587,558,690,614,704
7.6,20.16,39.45,322,284,519,587,559,690,614,704
7.7,20.16,39.45,323,284,519,586,559,689,614,704
7.79,20.16,39.45,322,284,519,586,558,690,614,704
7.9,20.16,39.45,323,284,519,587,558,690,614,704
8,20.16,39.45,323,284,519,587,558,690,614,704
8.1,20.16,39.45,322,283,519,587,558,690,614,704
8.2,20.16,39.45,322,284,519,587,559,690,614,704
8.29,20.16,39.45,323,284,519,586,559,690,614,705
8.4,20.16,39.45,323,284,519,588,559,690,614,704
8.5,20.16,39.45,324,284,519,588,558,690,614,705
8.6,20.16,39.45,324,283,519,587,559,690,614,704
8.7,20.16,39.45,322,284,519,588,558,690,614,705
8.79,20.16,39.45,322,284,520,588,559,690,614,704
8.91,20.16,39.45,322,284,519,588,558,690,614,704
9,20.16,39.45,322,284,519,588,559,690,614,705
9.1,20.16,39.45,324,284,520,587,559,690,614,705
9.2,20.16,39.45,324,284,519,588,559,690,614,704
9.31,20.16,39.45,323,284,519,588,558,690,614,704
9.41,20.16,39.45,323,284,519,588,559,690,614,704
9.51,20.16,39.45,322,284,519,588,559,690,614,705
9.6,20.16,39.45,323,284,519,588,559,690,615,704
9.7,20.16,39.45,323,284,520,588,559,690,614,705
9.8,20.16,39.45,322,284,520,588,559,689,614,704
9.91,20.16,39.45,325,284,520,588,559,690,614,705
9.99,20.16,39.45,323,284,519,589,559,690,615,705
10.11,20.16,39.45,322,284,519,589,559,690,615,705
10.2,20.16,39.45,323,284,520,589,559,690,615,705
10.3,20.16,39.45,322,285,520,589,559,690,615,704
10.41,20.16,39.45,324,285,520,589,559,690,615,705
10.51,20.16,39.45,323,284,520,589,559,690,615,705
10.6,20.16,39.45,323,285,520,589,559,690,615,705
10.7,20.16,39.45,323,284,519,590,560,690,615,705
10.8,20.16,39.45,323,285,519,589,559,690,615,705
10.9,20.16,39.45,323,284,521,589,559,690,615,705
11.01,20.16,39.45,324,284,520,589,559,690,615,705
11.1,20.16,39.45,324,284,520,589,559,690,616,705
11.2,20.17,39.45,324,284,520,590,559,690,616,705
11.3,20.17,39.45,323,284,520,590,559,690,615,706
11.4,20.17,39.45,323,285,520,590,559,690,616,705
11.5,20.17,39.45,323,284,520,590,559,690,615,705
11.61,20.17,39.45,323,284,520,590,559,690,616,706
11.7,20.17,39.45,323,284,520,591,559,691,616,706
11.8,20.17,39.45,325,284,520,591,559,690,615,705
11.9,20.17,39.45,323,284,520,591,559,690,616,705
12,20.17,39.45,323,285,520,591,559,690,616,706
12.11,20.17,39.45,323,284,520,591,559,690,616,706
12.2,20.16,39.45,325,284,521,590,560,690,616,706
12.3,20.16,39.45,323,285,520,591,559,690,616,706
12.4,20.16,39.45,324,285,521,591,559,691,616,706
12.5,20.16,39.45,323,284,520,591,559,691,616,706
12.6,20.16,39.45,323,285,520,591,559,690,616,706
12.7,20.16,39.45,323,284,520,592,560,691,616,705
12.8,20.16,39.45,324,285,521,591,559,691,616,706
12.9,20.16,39.45,323,285,521,592,560,691,616,706
13.01,20.16,39.45,323,284,521,592,560,691,616,707
13.09,20.16,39.45,323,285,521,592,560,691,616,706
13.2,20.17,39.45,323,285,521,592,560,690,616,706
13.3,20.17,39.45,323,284,520,592,560,691,616,706
13.39,20.17,39.45,324,285,521,592,560,690,617,706
13.5,20.17,39.45,323,284,521,592,560,691,617,707
13.61,20.17,39.45,326,285,521,592,560,691,617,707
13.71,20.17,39.45,326,285,521,592,560,691,616,707
13.8,20.17,39.45,323,284,521,593,560,691,617,706
13.9,20.17,39.45,324,284,521,592,560,691,617,707
14,20.17,39.45,324,285,521,593,560,691,618,707
14.11,20.17,39.45,323,285,521,593,561,691,617,707
14.2,20.17,39.45,325,284,521,593,560,691,617,707
14.3,20.17,39.45,323,285,520,593,560,691,617,707
14.4,20.17,39.45,326,285,521,593,560,691,617,707
14.51,20.17,39.45,323,285,521,593,561,691,617,707
14.6,20.17,39.45,324,285,521,594,560,691,617,707
14.7,20.17,39.45,325,284,521,593,560,691,618,707
14.8,20.17,39.45,323,285,521,593,561,691,617,707
14.9,20.17,39.45,324,285,522,593,561,691,617,707
15.01,20.17,39.45,323,284,521,594,561,692,618,708
15.1,20.17,39.45,323,285,521,593,560,691,617,708
15.2,20.17,39.45,325,285,521,594,561,692,618,708
15.3,20.17,39.45,323,285,522,594,561,692,617,707
15.4,20.17,39.45,324,285,521,594,560,691,618,707
15.5,20.17,39.45,323,284,521,594,561,692,618,708
15.6,20.17,39.45,325,285,521,594,561,692,618,708
15.7,20.17,39.45,324,285,521,594,561,692,618,708
15.8,20.17,39.45,324,285,522,594,561,691,618,708
15.9,20.17,39.45,325,285,522,595,561,692,618,708
16,20.17,39.45,323,284,521,594,561,692,618,708
16.1,20.17,39.45,324,285,521,595,561,692,618,707
16.21,20.17,39.45,326,285,521,594,562,692,618,708
16.31,20.17,39.45,323,285,521,595,561,692,618,708
16.4,20.17,39.45,324,285,522,595,561,692,618,708
16.5,20.17,39.45,324,286,522,594,561,691,618,708
16.6,20.17,39.45,323,285,521,595,562,692,619,708
16.7,20.17,39.45,324,286,521,595,561,692,619,709
16.81,20.17,39.45,325,286,521,595,561,692,618,708
16.91,20.17,39.45,323,285,521,595,561,692,618,709
17,20.17,39.45,323,285,521,595,561,692,618,708
17.1,20.17,39.45,323,285,521,595,562,692,619,709
17.2,20.17,39.45,323,285,521,596,562,693,619,709
17.29,20.17,39.45,323,285,521,595,561,693,619,709
17.4,20.17,39.45,325,285,521,596,561,692,618,709
17.5,20.17,39.45,323,285,522,595,562,692,619,709
17.6,20.17,39.45,325,285,521,595,561,692,618,709
17.7,20.17,39.45,323,286,522,596,561,693,618,708
17.79,20.17,39.45,326,285,521,596,562,692,619,709
17.89,20.17,39.45,323,285,522,595,561,693,619,709
18.01,20.17,39.45,326,285,522,596,562,692,619,709
18.1,20.17,39.45,324,285,521,596,562,693,618,709
18.2,20.17,39.45,324,285,521,596,562,692,618,709
18.3,20.17,39.45,324,285,522,597,562,692,618,710
18.41,20.17,39.45,324,285,521,596,562,693,618,709
18.5,20.17,39.45,325,285,522,597,562,693,618,710
18.6,20.17,39.45,326,285,522,596,561,692,619,710
18.7,20.17,39.45,323,285,521,596,562,693,618,709
18.8,20.17,39.45,323,285,522,597,562,693,619,710
18.9,20.17,39.45,324,285,520,596,562,692,618,710
19,20.17,39.45,323,286,521,597,562,693,619,709
19.1,20.17,39.45,324,285,522,596,562,693,618,710
19.2,20.17,39.45,323,285,522,597,562,693,618,710
19.3,20.16,39.45,325,285,521,597,562,694,619,709
19.4,20.16,39.45,323,285,522,597,562,693,619,710
19.5,20.16,39.45,326,285,521,597,562,693,618,710
19.6,20.16,39.45,325,286,521,596,562,693,618,710
19.7,20.16,39.45,323,285,521,597,562,693,618,710
19.8,20.16,39.45,323,285,521,597,562,693,618,710
19.91,20.16,39.45,324,285,520,597,562,693,618,710
20.01,20.16,39.45,323,285,521,597,562,693,618,710
20.1,20.16,39.45,323,285,521,597,562,693,618,710
20.2,20.16,39.45,323,285,521,597,561,693,618,710
20.3,20.17,39.45,323,285,520,597,562,693,617,710
20.4,20.17,39.45,323,285,521,597,561,693,618,710
20.5,20.17,39.45,323,285,520,597,562,693,618,710
20.6,20.17,39.45,323,285,521,597,562,693,618,710
20.7,20.17,39.45,323,285,520,597,562,693,618,710
20.8,20.17,39.45,323,285,521,598,562,693,617,710
20.91,20.17,39.45,323,285,520,597,562,693,618,710
20.99,20.17,39.45,323,285,521,597,562,693,618,710
21.11,20.17,39.45,323,285,521,597,562,693,617,710
21.2,20.17,39.45,323,285,521,597,562,693,617,710
21.3,20.17,39.45,323,285,521,597,562,693,617,710
21.4,20.17,39.45,323,285,520,597,562,693,618,710
21.51,20.17,39.45,323,285,520,598,562,693,617,710
21.61,20.17,39.45,323,285,521,598,562,693,617,710
21.7,20.17,39.45,325,285,520,598,561,692,617,710
21.8,20.17,39.45,323,285,520,597,562,693,617,709
21.9,20.17,39.45,323,285,520,598,562,693,617,710
22,20.17,39.45,323,285,520,598,562,692,617,710
22.09,20.17,39.45,324,285,521,598,562,693,618,710
22.2,20.17,39.45,322,285,520,597,562,693,617,710
22.3,20.17,39.52,323,285,520,598,562,693,617,710
22.4,20.17,39.52,324,285,521,598,562,693,617,709
22.5,20.17,39.52,323,285,520,598,562,693,617,709
22.61,20.17,39.52,323,286,520,598,563,693,617,709
22.7,20.17,39.52,323,285,520,598,562,693,617,710
22.8,20.17,39.52,323,285,520,598,562,693,617,709
22.9,20.17,39.52,323,285,520,598,562,693,617,709
23,20.17,39.52,323,285,520,598,562,693,617,709
23.1,20.17,39.52,323,285,521,598,563,693,617,710
23.2,20.17,39.52,323,285,520,598,562,693,617,709
23.3,20.17,39.52,324,286,520,598,562,694,616,710
23.4,20.16,39.52,323,285,520,598,562,693,616,710
23.5,20.16,39.52,323,285,520,598,562,693,616,709
23.6,20.16,39.52,323,285,520,598,562,693,617,710
23.7,20.16,39.52,323,285,520,598,562,692,617,709
23.8,20.16,39.52,323,285,520,598,562,693,617,709
23.9,20.16,39.52,323,285,520,598,562,693,616,709
24,20.16,39.52,322,285,521,598,562,693,616,710
24.09,20.16,39.52,322,285,520,598,561,693,616,709
24.2,20.16,39.52,325,285,520,598,562,693,616,709
24.3,20.16,39.52,323,285,520,598,562,693,616,709
24.4,20.18,39.45,323,285,520,598,562,692,617,709
24.5,20.18,39.45,322,285,520,598,561,693,616,709
