"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.4,38.34,318,279,514,560,547,673,599,688
3.1,20.4,38.34,318,279,514,561,548,673,600,688
3.21,20.4,38.34,318,280,515,561,549,674,601,689
3.31,20.4,38.34,319,280,516,561,549,675,601,691
3.39,20.4,38.34,320,280,517,563,549,675,602,691
3.51,20.4,38.37,321,281,518,563,550,675,602,691
3.59,20.4,38.37,321,281,518,564,551,676,604,693
3.71,20.4,38.37,321,282,519,564,551,678,603,693
3.79,20.4,38.37,322,282,519,565,551,678,604,693
3.91,20.4,38.37,321,282,519,565,552,678,605,694
4.01,20.4,38.37,322,283,520,566,553,679,605,695
4.11,20.4,38.37,322,283,520,566,554,679,606,695
4.21,20.4,38.37,323,283,521,567,554,680,606,696
4.31,20.4,38.37,326,283,521,567,554,681,607,696
4.41,20.4,38.37,324,282,521,568,555,681,607,696
4.51,20.4,38.34,326,284,522,568,555,681,608,697
4.59,20.4,38.34,325,284,522,569,555,682,608,697
4.7,20.4,38.34,325,284,522,569,556,682,608,698
4.8,20.4,38.34,325,284,523,570,556,682,609,698
4.9,20.4,38.34,325,284,523,570,556,683,609,698
5.01,20.4,38.34,325,284,523,570,557,683,609,699
5.1,20.4,38.34,325,285,524,571,556,683,609,699
5.21,20.4,38.34,326,285,524,571,557,684,610,700
5.31,20.4,38.34,325,286,525,571,557,684,609,699
5.41,20.4,38.34,326,285,524,572,557,685,610,699
5.51,20.4,38.33,326,286,525,573,557,685,610,700
5.61,20.4,38.33,326,286,526,572,558,685,610,700
5.71,20.4,38.33,326,286,525,573,559,686,611,700
5.8,20.4,38.33,326,286,525,574,559,685,611,700
5.91,20.4,38.33,326,286,525,574,558,686,611,701
6,20.4,38.33,327,286,526,574,559,686,611,701
6.09,20.4,38.33,326,286,526,574,559,686,611,701
6.21,20.4,38.33,327,286,526,575,559,686,611,701
6.31,20.4,38.33,327,287,526,575,559,686,611,701
6.4,20.4,38.33,327,287,526,576,560,687,611,701
6.5,20.4,38.33,329,286,526,575,559,687,611,701
6.59,20.4,38.33,327,286,525,575,559,686,611,701
6.69,20.4,38.33,326,286,525,575,558,686,611,701
6.8,20.4,38.33,326,285,525,575,558,686,610,700
6.9,20.4,38.33,325,285,524,575,558,685,609,700
7.01,20.4,38.33,325,285,523,574,557,684,609,699
