"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.37,42.84,349,292,549,607,611,751,669,765
3.1,21.37,42.84,350,293,549,607,612,751,669,765
3.2,21.37,42.84,348,293,549,607,611,751,668,765
3.3,21.37,42.84,348,293,548,607,611,751,668,765
3.4,21.37,42.84,348,292,548,607,611,751,668,764
3.5,21.37,42.84,349,293,548,607,611,751,669,765
3.6,21.37,42.84,349,293,548,607,611,751,669,764
3.71,21.37,42.84,348,293,548,607,611,751,668,765
3.8,21.37,42.84,348,292,549,607,611,751,669,765
3.9,21.37,42.84,348,292,548,607,611,750,669,764
4,21.37,42.84,348,293,548,607,611,751,668,764
4.09,21.37,42.84,348,292,548,607,612,751,669,765
4.2,21.37,42.84,348,292,548,607,612,751,669,765
4.3,21.37,42.84,350,293,548,607,611,751,668,765
4.4,21.37,42.84,348,292,548,607,611,751,668,765
4.5,21.37,42.84,348,292,548,607,612,751,669,764
4.6,21.37,42.84,350,292,548,607,611,751,668,765
4.7,21.37,42.84,348,292,549,607,611,751,668,765
4.8,21.37,42.84,348,292,548,606,611,751,668,764
4.9,21.37,42.84,350,292,549,606,611,751,668,765
5,21.37,42.84,348,292,548,607,611,751,668,765
5.1,21.37,42.84,348,292,548,606,611,751,669,764
5.2,21.37,42.84,348,292,547,606,611,751,668,765
5.3,21.38,42.81,349,292,548,606,611,751,668,765
5.4,21.38,42.81,348,292,548,606,611,751,668,764
5.5,21.38,42.81,348,292,549,606,611,751,668,765
5.6,21.38,42.81,348,292,548,606,611,751,668,765
5.7,21.38,42.81,348,292,548,606,611,751,668,764
5.8,21.38,42.81,349,292,548,606,611,750,669,765
5.9,21.38,42.81,348,292,548,606,611,751,668,765
6,21.38,42.81,348,292,548,606,611,751,668,764
6.1,21.38,42.81,348,292,548,606,611,751,668,765
6.2,21.38,42.81,350,293,548,606,611,751,668,764
6.3,21.36,42.81,347,293,548,606,611,750,668,764
6.4,21.36,42.81,348,292,548,606,611,751,669,764
6.5,21.36,42.81,348,292,548,606,611,751,668,764
6.6,21.36,42.81,348,292,548,606,610,750,668,764
6.7,21.36,42.81,348,292,548,606,611,750,668,764
6.8,21.36,42.81,348,292,549,606,611,751,668,765
6.89,21.36,42.81,351,292,548,606,611,750,669,765
7,21.36,42.81,348,293,548,606,611,750,668,765
7.1,21.36,42.81,348,293,548,606,611,751,668,764
7.2,21.36,42.81,348,293,548,606,611,751,668,764
7.3,21.36,42.81,348,292,549,606,611,750,669,764
7.41,21.38,42.84,350,292,548,606,611,751,669,765
7.5,21.38,42.84,349,293,548,606,611,751,669,765
7.6,21.38,42.84,348,292,548,606,611,751,668,765
7.7,21.38,42.84,348,292,548,606,611,750,668,764
7.8,21.38,42.84,348,292,549,606,611,751,668,765
7.9,21.38,42.84,348,292,548,606,611,750,668,764
8.01,21.38,42.84,350,292,548,606,611,750,668,764
8.1,21.38,42.84,348,292,548,606,611,750,668,764
8.2,21.38,42.84,348,292,548,606,611,750,668,764
8.3,21.38,42.84,348,293,549,605,611,750,668,764
8.4,21.37,42.84,348,292,548,606,612,750,669,764
8.5,21.37,42.84,349,292,548,606,611,751,668,764
8.6,21.37,42.84,349,292,548,606,611,750,668,765
8.7,21.37,42.84,347,292,548,606,611,751,668,764
8.8,21.37,42.84,348,292,548,606,611,751,668,764
8.9,21.37,42.84,348,292,548,606,611,751,668,765
9,21.37,42.84,348,292,548,606,611,750,668,764
9.1,21.37,42.84,348,292,548,605,611,750,668,764
9.2,21.37,42.84,348,292,548,606,611,751,668,764
9.3,21.37,42.84,348,292,548,606,611,751,668,764
9.4,21.37,42.81,348,292,548,606,611,750,668,764
9.5,21.37,42.81,348,293,548,606,611,751,669,765
9.6,21.37,42.81,349,292,548,606,611,750,668,764
9.7,21.37,42.81,348,292,548,606,611,750,668,764
9.8,21.37,42.81,348,293,548,606,611,750,668,764
9.9,21.37,42.81,348,292,548,607,611,750,668,764
10,21.37,42.81,348,292,548,606,611,750,668,764
10.11,21.37,42.81,348,292,549,606,611,751,669,764
10.2,21.37,42.81,348,292,548,606,611,750,668,765
10.3,21.37,42.81,349,292,548,606,611,751,668,765
10.4,21.38,42.84,348,292,548,606,611,750,668,765
10.49,21.38,42.84,348,292,548,606,611,750,668,764
10.6,21.38,42.84,348,292,549,606,611,750,669,764
10.7,21.38,42.84,348,292,548,606,611,750,668,764
10.8,21.38,42.84,348,292,549,606,611,750,669,764
10.89,21.38,42.84,348,292,548,606,611,750,668,764
11,21.38,42.84,349,292,549,606,611,751,669,764
11.1,21.38,42.84,348,292,549,607,611,750,668,765
11.2,21.38,42.84,348,292,549,606,611,750,668,764
11.29,21.38,42.84,348,292,548,607,611,750,668,765
11.4,21.38,42.84,348,292,548,606,611,750,668,764
11.5,21.38,42.84,348,292,548,607,611,750,668,765
11.6,21.38,42.84,349,292,549,607,611,750,668,764
11.7,21.38,42.84,348,292,549,607,611,751,669,765
11.79,21.38,42.84,349,292,548,606,611,750,668,764
11.9,21.38,42.84,348,292,549,607,611,750,669,765
12,21.38,42.84,351,292,549,607,611,750,669,765
12.1,21.38,42.84,348,292,550,607,611,750,669,765
12.2,21.38,42.84,348,292,549,607,611,750,668,764
12.3,21.38,42.84,348,292,550,607,611,750,669,765
12.4,21.38,42.84,348,292,550,607,611,750,669,765
12.5,21.38,42.84,349,292,549,607,611,750,669,765
12.6,21.38,42.84,348,292,549,607,611,751,669,765
12.7,21.38,42.84,348,292,549,607,611,750,669,765
12.8,21.38,42.84,348,292,550,607,611,750,669,764
