"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,22.42,39.25,324,270,511,556,563,701,624,715
3.1,22.42,39.25,325,270,511,556,564,701,624,714
3.19,22.42,39.22,324,271,510,556,564,700,624,714
3.31,22.42,39.22,325,271,511,556,564,701,624,714
3.39,22.42,39.22,324,270,510,556,563,701,623,714
3.51,22.42,39.22,325,270,511,555,563,701,624,714
3.61,22.42,39.22,325,271,511,556,563,701,624,714
3.71,22.42,39.22,326,270,511,555,563,701,623,714
3.8,22.42,39.22,325,271,511,555,564,701,624,714
3.9,22.42,39.22,325,270,511,556,563,701,624,715
4.01,22.42,39.22,325,271,510,556,563,700,624,715
4.11,22.42,39.22,327,271,510,556,563,701,624,715
4.21,22.43,39.22,327,270,511,556,563,700,624,714
4.3,22.43,39.22,324,270,511,556,563,701,624,715
4.41,22.43,39.22,325,270,510,556,563,701,624,714
4.49,22.43,39.22,325,270,511,556,563,701,624,715
4.6,22.43,39.22,324,270,511,555,563,700,624,714
4.7,22.43,39.22,324,271,511,556,563,701,624,714
4.8,22.43,39.22,324,270,511,556,563,701,624,715
4.9,22.43,39.22,326,271,511,556,563,700,624,714
4.99,22.43,39.22,324,270,511,556,563,700,624,715
5.1,22.43,39.22,325,270,511,556,563,701,624,714
5.19,22.43,39.22,324,271,511,556,564,700,624,715
5.3,22.43,39.22,325,271,511,556,564,700,624,714
5.41,22.43,39.22,325,271,511,556,563,700,624,714
5.51,22.43,39.22,324,270,510,556,563,701,623,715
5.61,22.43,39.22,326,271,511,556,563,701,624,715
5.71,22.43,39.22,324,271,511,556,563,701,624,715
5.79,22.43,39.22,326,271,511,556,563,701,624,715
5.9,22.43,39.22,326,271,510,556,563,701,624,715
5.99,22.43,39.22,324,271,511,556,563,701,623,714
6.1,22.43,39.22,325,271,511,556,563,701,624,715
6.2,22.42,39.25,327,271,511,557,563,700,624,715
6.31,22.42,39.25,325,271,511,557,563,700,624,714
6.41,22.42,39.25,324,271,510,556,563,701,623,715
6.51,22.42,39.25,325,271,511,556,563,700,624,715
6.61,22.42,39.25,325,271,511,556,563,701,624,715
6.71,22.42,39.25,325,270,511,556,563,701,624,715
6.81,22.42,39.25,327,271,511,557,563,700,624,715
6.9,22.42,39.25,325,271,511,556,563,701,624,715
7.01,22.42,39.25,325,271,511,557,563,701,624,714
7.11,22.42,39.25,325,270,511,557,563,700,624,715
7.21,22.42,39.28,327,270,511,557,564,701,624,715
7.3,22.42,39.28,325,270,511,557,563,701,624,715
7.4,22.42,39.28,325,270,511,556,563,700,625,714
7.5,22.42,39.28,324,270,511,557,563,700,624,715
7.61,22.42,39.28,324,271,511,557,564,701,624,715
7.71,22.42,39.28,325,271,511,557,563,701,624,715
7.81,22.42,39.28,325,271,511,557,563,701,624,715
7.91,22.42,39.28,325,271,511,557,563,701,624,715
8.01,22.42,39.28,324,270,512,558,563,700,624,715
8.11,22.42,39.28,325,271,511,557,564,700,624,715
8.2,22.42,39.28,325,270,510,557,564,701,624,715
8.3,22.42,39.25,325,271,511,557,564,700,625,715
8.4,22.42,39.25,324,271,511,557,564,700,624,715
