"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,20.56,37.47,309,280,506,587,531,653,586,673
3.1,20.56,37.47,310,280,507,588,531,654,585,673
3.2,20.56,37.47,310,280,506,588,532,653,585,674
3.3,20.56,37.47,310,280,506,588,532,653,585,673
3.4,20.56,37.47,309,281,506,588,532,654,585,673
3.5,20.56,37.47,309,281,506,587,532,654,586,673
3.6,20.56,37.47,309,280,505,587,532,653,585,673
3.69,20.56,37.47,310,281,505,588,532,654,585,673
3.8,20.56,37.47,309,281,506,587,532,654,585,673
3.9,20.56,37.47,309,281,506,588,531,654,585,673
4,20.55,37.51,309,281,506,588,532,653,586,673
4.11,20.55,37.51,309,280,506,587,532,653,585,673
4.2,20.55,37.51,309,280,507,587,532,654,586,673
4.3,20.55,37.51,311,280,505,588,532,653,585,674
4.4,20.55,37.51,309,281,506,588,532,653,586,673
4.5,20.55,37.51,309,281,506,587,531,653,585,673
4.6,20.55,37.51,311,281,506,587,532,653,586,674
4.7,20.55,37.51,309,281,506,587,532,653,585,673
4.81,20.55,37.51,309,281,506,588,532,653,585,673
4.89,20.55,37.51,309,281,505,587,532,653,586,673
4.99,20.53,37.51,311,281,505,587,532,653,586,673
5.09,20.53,37.51,311,281,506,587,531,653,586,673
5.2,20.53,37.51,310,281,506,588,532,653,585,674
5.3,20.53,37.51,309,281,506,587,532,653,585,673
5.41,20.53,37.51,309,280,506,587,532,653,585,673
5.5,20.53,37.51,310,280,507,588,532,653,585,674
5.6,20.53,37.51,310,280,506,587,532,653,585,673
5.7,20.53,37.51,309,280,505,587,531,653,586,673
5.8,20.53,37.51,309,280,506,587,532,653,586,674
5.9,20.53,37.51,309,281,506,587,531,654,586,673
6.01,20.54,37.51,310,281,506,588,532,653,585,674
6.1,20.54,37.51,309,281,506,587,532,653,585,673
6.2,20.54,37.51,309,280,506,587,531,653,586,674
6.3,20.54,37.51,309,281,506,587,532,653,585,673
6.4,20.54,37.51,309,280,506,587,531,653,585,674
6.5,20.54,37.51,309,280,506,587,532,653,586,674
6.6,20.54,37.51,309,280,505,587,532,653,586,674
6.7,20.54,37.51,308,281,506,587,532,653,586,673
6.79,20.54,37.51,309,280,506,587,532,653,586,673
6.89,20.54,37.51,309,280,506,588,532,653,586,673
7,20.54,37.51,309,280,506,587,532,653,586,674
7.1,20.55,37.54,312,280,505,587,532,653,586,673
7.2,20.55,37.54,310,280,506,587,532,653,586,673
7.3,20.55,37.54,311,281,506,587,532,654,586,673
7.4,20.55,37.54,311,280,506,588,532,654,586,674
7.5,20.55,37.54,310,280,506,587,532,653,586,673
7.6,20.55,37.54,309,280,506,587,532,653,586,674
7.7,20.55,37.54,309,280,506,587,532,653,586,673
7.8,20.55,37.54,309,280,506,588,532,654,586,674
7.9,20.55,37.54,310,280,506,587,532,653,586,674
8,20.55,37.54,311,280,506,587,532,654,586,674
8.1,20.54,37.54,309,281,506,587,532,653,586,674
8.2,20.54,37.54,309,280,506,587,532,653,586,674
8.3,20.54,37.54,309,281,507,588,531,653,586,674
8.41,20.54,37.54,309,280,506,587,532,654,586,674
8.49,20.54,37.54,310,280,506,588,531,653,586,674
8.61,20.54,37.54,309,280,506,587,532,653,586,674
8.71,20.54,37.54,309,281,506,588,531,653,586,673
8.8,20.54,37.54,309,280,506,588,532,653,586,673
8.9,20.54,37.54,309,280,506,587,532,653,586,674
9.01,20.54,37.54,309,280,506,587,532,653,586,673
9.1,20.54,37.57,310,280,506,587,531,653,586,673
9.2,20.54,37.57,309,280,505,588,531,653,586,674
9.3,20.54,37.57,309,280,506,587,531,653,586,674
9.4,20.54,37.57,311,280,506,588,531,653,587,674
9.5,20.54,37.57,309,281,506,587,532,653,586,673
9.6,20.54,37.57,311,281,506,587,532,653,586,674
9.7,20.54,37.57,310,280,506,588,532,652,587,674
9.8,20.54,37.57,312,280,506,587,532,653,586,674
9.9,20.54,37.57,310,280,506,587,531,654,586,674
10,20.54,37.57,309,281,506,588,532,653,586,674
10.1,20.54,37.54,309,280,505,588,532,653,587,674
10.2,20.54,37.54,311,280,506,588,532,653,586,674
10.3,20.54,37.54,309,280,506,587,532,653,587,674
10.4,20.54,37.54,311,280,506,587,532,653,586,674
10.5,20.54,37.54,309,281,506,588,532,653,586,674
10.6,20.54,37.54,310,280,506,587,532,653,586,674
10.7,20.54,37.54,309,281,506,588,532,653,587,674
10.8,20.54,37.54,311,280,506,588,532,653,586,674
10.9,20.54,37.54,309,280,506,588,532,653,586,674
11,20.54,37.54,310,280,506,587,532,653,586,675
11.1,20.54,37.54,309,280,506,588,532,653,587,674
11.2,20.54,37.54,309,280,506,587,532,654,586,674
11.3,20.54,37.54,309,279,506,587,532,653,587,674
11.4,20.54,37.54,309,280,506,587,532,654,587,674
11.5,20.54,37.54,309,280,507,588,532,653,587,674
11.61,20.54,37.54,309,280,506,588,532,653,587,675
11.7,20.54,37.54,311,280,506,588,532,653,587,674
11.8,20.54,37.54,309,280,505,588,531,653,586,675
