"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.17,44.3,356,300,561,584,614,750,663,760
3.1,21.17,44.3,356,301,562,584,614,750,663,760
3.21,21.17,44.3,356,300,562,584,614,750,663,760
3.31,21.19,44.27,357,301,561,584,614,750,663,760
3.41,21.19,44.27,356,301,561,584,614,751,663,760
3.51,21.19,44.27,356,300,561,584,614,751,663,760
3.6,21.19,44.27,358,300,562,584,614,751,663,760
3.7,21.19,44.27,356,300,561,584,614,751,663,759
3.81,21.19,44.27,356,301,561,584,614,750,663,760
3.9,21.19,44.27,356,300,561,584,614,750,663,760
3.99,21.19,44.27,356,300,561,584,614,751,663,760
4.1,21.19,44.27,357,300,562,584,614,750,663,760
4.21,21.19,44.27,356,300,561,584,614,750,663,760
4.3,21.19,44.3,356,301,561,584,614,750,663,760
4.4,21.19,44.3,356,301,561,584,614,750,664,760
4.51,21.19,44.3,357,300,561,584,614,751,663,760
4.61,21.19,44.3,356,301,561,584,614,750,663,760
4.7,21.19,44.3,357,301,561,584,614,750,663,760
4.81,21.19,44.3,357,300,561,584,614,750,663,760
4.91,21.19,44.3,356,300,561,584,614,751,663,760
5,21.19,44.3,358,300,560,584,614,750,663,760
5.11,21.19,44.3,356,301,561,584,614,750,663,760
5.21,21.19,44.3,356,301,561,584,613,750,663,760
5.29,21.2,44.34,357,300,562,584,614,750,663,760
5.4,21.2,44.34,357,301,561,584,614,751,663,760
5.51,21.2,44.34,356,300,561,584,614,750,663,760
5.6,21.2,44.34,356,300,561,584,614,750,663,760
5.7,21.2,44.34,357,301,561,584,614,751,663,760
5.79,21.2,44.34,356,301,561,584,614,750,663,760
5.91,21.2,44.34,356,300,561,584,614,750,663,760
6,21.2,44.34,356,300,561,584,614,750,663,759
6.11,21.2,44.34,356,301,561,584,614,750,663,760
6.21,21.2,44.34,356,300,561,584,613,750,663,760
6.3,21.18,44.3,356,300,561,584,614,750,663,760
6.41,21.18,44.3,356,301,560,584,614,751,663,760
6.5,21.18,44.3,356,300,562,584,614,750,663,760
6.59,21.18,44.3,356,301,561,584,614,750,662,760
6.69,21.18,44.3,359,300,561,584,614,750,663,760
