"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21.1,44.88,361,307,567,598,618,753,666,763
3.1,21.1,44.88,362,307,568,598,618,754,665,763
3.2,21.1,44.88,361,307,567,598,618,754,666,763
3.3,21.1,44.88,361,307,569,598,618,754,666,763
3.38,21.1,44.88,361,307,568,598,618,754,665,763
3.38,21.1,44.88,361,307,568,598,618,754,665,763
3.38,21.1,44.88,361,307,568,598,618,754,665,763
3.89,21.12,44.88,361,308,568,598,618,753,666,763
3.89,21.12,44.88,361,308,568,598,618,753,666,763
3.9,21.12,44.88,361,307,568,598,618,754,665,763
4,21.12,44.88,361,307,567,598,618,754,665,763
4.1,21.12,44.88,361,307,567,598,618,754,665,763
4.2,21.12,44.88,362,308,568,598,617,753,665,763
4.3,21.12,44.88,363,307,568,598,618,754,666,764
4.4,21.12,44.88,361,308,568,598,618,754,666,763
4.5,21.12,44.88,361,307,568,598,618,754,666,763
4.6,21.12,44.88,361,307,567,598,618,754,665,763
4.7,21.12,44.88,360,307,568,598,618,754,666,763
4.8,21.1,44.88,361,307,568,599,618,754,666,763
4.91,21.1,44.88,362,307,568,598,618,754,665,763
5,21.1,44.88,361,307,568,598,618,753,666,763
5.1,21.1,44.88,360,308,567,598,618,754,666,763
5.2,21.1,44.88,361,308,568,599,618,754,666,763
5.3,21.1,44.88,361,307,567,598,618,754,666,763
5.33,21.1,44.88,361,308,567,598,618,754,665,763
5.33,21.1,44.88,361,308,567,598,618,754,665,763
5.84,21.1,44.88,362,307,568,598,618,754,666,763
5.84,21.1,44.88,362,307,568,598,618,754,666,763
5.84,21.1,44.88,362,307,568,598,618,754,666,763
5.9,21.1,44.88,361,308,568,598,618,754,666,763
6,21.1,44.88,361,307,568,599,618,754,665,763
6.1,21.1,44.88,361,307,568,599,618,753,665,763
6.2,21.1,44.88,361,308,568,598,618,753,666,763
6.3,21.1,44.88,361,307,568,599,618,753,666,763
6.4,21.1,44.88,361,308,567,599,618,753,666,763
6.5,21.1,44.88,361,307,568,598,618,754,665,763
6.6,21.1,44.88,363,308,568,598,618,754,666,763
6.7,21.1,44.88,361,307,567,599,618,754,666,763
6.8,21.1,44.85,360,308,567,599,618,753,666,764
6.9,21.1,44.85,361,308,568,599,618,754,666,763
7,21.1,44.85,361,308,568,598,618,754,666,763
7.1,21.1,44.85,361,308,567,599,618,754,665,763
7.2,21.1,44.85,361,308,568,599,618,754,666,763
7.3,21.1,44.85,363,307,569,599,618,753,666,763
7.4,21.1,44.85,362,307,568,599,618,753,666,763
7.5,21.1,44.85,361,308,568,599,618,754,666,763
7.6,21.1,44.85,361,308,568,599,618,753,666,763
7.7,21.1,44.85,361,307,567,599,618,754,666,763
7.8,21.1,44.85,361,308,568,599,618,754,666,763
7.9,21.1,44.88,363,307,567,599,618,753,665,763
8,21.1,44.88,361,308,568,599,618,754,666,763
8.1,21.1,44.88,361,308,568,599,618,753,666,764
8.2,21.1,44.88,360,307,568,599,617,754,666,763
8.3,21.1,44.88,361,307,567,599,618,754,665,763
8.3,21.1,44.88,361,307,567,599,618,754,665,763
8.3,21.1,44.88,361,307,567,599,618,754,665,763
8.81,21.1,44.88,361,308,568,600,618,754,666,763
8.81,21.1,44.88,361,308,568,600,618,754,666,763
8.81,21.1,44.88,361,308,568,600,618,754,666,763
8.9,21.1,44.85,361,308,568,599,618,754,666,763
9,21.1,44.85,361,308,568,599,618,754,666,763
9.1,21.1,44.85,361,308,568,599,618,754,666,763
9.2,21.1,44.85,361,308,568,599,618,753,666,763
9.3,21.1,44.85,361,308,568,599,618,753,666,764
9.4,21.1,44.85,361,308,568,599,618,754,666,763
9.5,21.1,44.85,361,308,568,599,618,754,666,763
9.6,21.1,44.85,361,308,568,599,618,754,666,763
9.7,21.1,44.85,361,307,568,599,618,754,666,764
9.8,21.1,44.85,362,308,568,599,617,754,666,763
9.9,21.1,44.85,361,308,568,600,618,754,666,763
10,21.1,44.85,361,308,568,599,618,754,666,763
10.1,21.1,44.85,363,307,568,600,618,753,666,764
10.2,21.1,44.85,362,308,568,600,617,754,666,763
10.3,21.1,44.85,361,308,568,600,618,753,666,763
10.4,21.1,44.85,362,308,569,600,618,753,666,763
10.5,21.1,44.85,363,308,568,599,618,754,666,764
10.6,21.1,44.85,361,308,568,600,618,753,666,763
10.7,21.1,44.85,361,308,568,600,618,753,666,763
10.8,21.1,44.85,362,308,568,600,618,753,666,763
10.9,21.09,44.91,361,308,569,600,618,754,666,763
11,21.09,44.91,361,308,568,600,618,754,665,763
11.1,21.09,44.91,361,308,568,601,618,754,665,763
