"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3,21,36.29,318,286,516,600,541,663,592,681
3.1,21,36.29,318,286,515,600,541,662,593,681
3.2,21,36.29,318,287,516,600,541,663,592,681
3.29,21,36.29,319,286,515,600,541,663,593,681
3.39,21,36.29,319,286,516,600,541,663,592,681
3.5,21,36.29,319,286,515,600,541,662,592,681
3.6,21,36.29,318,287,515,600,541,662,592,681
3.7,21,36.29,318,286,515,600,540,663,592,681
3.8,21,36.29,320,286,515,600,541,663,592,681
3.9,21,36.29,318,286,515,600,540,662,593,681
4,21,36.29,318,286,515,601,540,662,592,681
4.1,21,36.29,318,286,515,600,540,663,592,681
4.2,21,36.29,318,286,515,600,540,662,593,681
4.3,21,36.29,318,286,516,600,540,662,592,681
4.4,20.98,36.33,318,286,515,600,540,662,592,681
4.5,20.98,36.33,318,286,516,600,541,662,593,681
4.61,20.98,36.33,319,286,515,600,541,663,592,681
4.7,20.98,36.33,318,287,515,600,540,662,593,681
4.81,20.98,36.33,321,286,515,600,540,662,593,681
4.91,20.98,36.33,318,286,516,600,541,662,593,681
5,20.98,36.33,319,286,515,600,540,662,592,681
5.1,20.98,36.33,318,286,516,601,540,662,592,681
5.2,20.98,36.33,318,287,516,600,541,662,592,681
5.31,20.98,36.33,318,286,516,600,540,662,592,681
5.41,20.98,36.33,320,286,515,601,541,663,592,681
5.49,20.98,36.33,319,286,515,600,541,662,592,681
5.61,20.98,36.33,319,286,516,601,541,663,592,681
5.69,20.98,36.33,319,286,515,600,541,663,593,681
5.81,20.98,36.33,318,286,516,600,541,662,593,681
5.9,20.98,36.33,318,287,515,600,540,662,593,681
6,20.98,36.33,318,286,516,601,541,662,593,681
6.1,20.98,36.33,318,286,515,601,541,663,592,681
6.2,20.98,36.33,318,286,515,600,541,663,592,681
6.3,20.98,36.33,318,286,515,601,540,662,593,682
6.4,20.98,36.33,318,286,515,600,540,662,593,681
6.5,20.99,36.29,320,286,515,601,541,662,592,681
6.59,20.99,36.29,318,286,515,601,540,662,593,681
6.7,20.99,36.29,318,287,515,600,541,662,592,682
6.8,20.99,36.29,318,286,515,600,540,662,592,681
6.9,20.99,36.29,320,286,515,600,540,662,592,682
7,20.99,36.29,318,286,516,601,541,662,593,681
7.1,20.99,36.29,318,286,515,601,541,662,593,681
7.2,20.99,36.29,320,286,516,600,540,663,593,681
7.3,20.99,36.29,318,286,515,601,540,662,593,681
7.4,20.99,36.29,318,286,516,601,541,662,593,681
7.5,20.99,36.33,318,286,516,601,540,663,593,681
7.61,20.99,36.33,318,286,516,601,540,662,593,681
7.7,20.99,36.33,320,286,515,601,540,663,593,681
7.8,20.99,36.33,319,287,516,601,541,662,592,681
7.9,20.99,36.33,318,286,515,600,541,663,592,681
8,20.99,36.33,318,285,516,601,541,662,592,681
8.11,20.99,36.33,318,286,516,601,541,662,593,682
8.21,20.99,36.33,318,286,516,601,540,663,592,681
8.25,20.99,36.33,319,286,515,601,540,662,593,681
8.25,20.99,36.33,319,286,515,601,540,662,593,681
8.25,20.99,36.33,319,286,515,601,540,662,593,681
8.76,20.99,36.36,318,286,515,601,540,662,592,681
8.76,20.99,36.36,318,286,515,601,540,662,592,681
8.8,20.99,36.36,318,286,516,600,541,662,593,681
8.89,20.99,36.36,318,286,515,601,541,662,593,681
9,20.99,36.36,318,286,515,600,540,662,593,681
9.1,20.99,36.36,318,286,515,601,541,662,593,682
9.2,20.99,36.36,318,286,516,601,541,662,593,681
9.29,20.99,36.36,318,286,516,601,541,662,593,682
