"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
2.99,20.68,39.34,337,287,536,618,583,714,634,727
3.1,20.68,39.34,337,287,536,618,583,714,634,727
3.13,20.68,39.34,338,288,537,618,583,714,634,727
3.13,20.68,39.34,338,288,537,618,583,714,634,727
3.65,20.68,39.34,338,287,537,618,583,714,634,727
3.65,20.68,39.34,338,287,537,618,583,714,634,727
3.65,20.68,39.34,338,287,537,618,583,714,634,727
3.71,20.68,39.34,338,287,536,618,583,714,634,727
3.81,20.68,39.34,337,288,536,618,583,714,634,727
3.9,20.68,39.34,339,288,536,618,583,714,634,727
4.01,20.68,39.34,337,287,536,618,583,714,635,726
4.09,20.68,39.34,338,287,537,618,583,714,634,727
4.19,20.68,39.34,338,288,536,618,583,714,634,727
4.3,20.68,39.34,339,287,537,619,583,714,634,727
4.41,20.68,39.34,339,288,537,619,583,714,634,727
4.49,20.68,39.34,337,288,536,618,583,714,634,727
4.61,20.68,39.34,339,287,536,619,583,714,634,727
4.71,20.68,39.34,339,288,536,618,583,714,635,727
4.8,20.68,39.3,337,287,536,618,583,714,635,727
4.91,20.68,39.3,338,288,536,618,583,714,635,727
4.99,20.68,39.3,339,288,537,619,583,715,634,727
5.11,20.68,39.3,340,287,536,618,583,714,635,727
5.21,20.68,39.3,338,287,537,618,583,714,635,727
5.3,20.68,39.3,338,287,537,619,583,714,634,727
5.4,20.68,39.3,338,287,536,618,583,714,635,727
5.5,20.68,39.3,337,287,537,618,583,714,635,727
5.6,20.68,39.3,338,287,537,618,583,714,634,727
5.71,20.68,39.3,339,287,537,618,583,714,635,727
5.8,20.68,39.37,339,288,536,618,584,714,635,727
5.9,20.68,39.37,340,287,537,618,583,713,634,727
6,20.68,39.37,338,287,536,618,583,714,634,727
6.1,20.68,39.37,338,287,537,618,583,714,635,727
6.2,20.68,39.37,337,287,537,619,583,714,635,727
6.3,20.68,39.37,338,287,536,618,583,714,635,727
6.4,20.68,39.37,337,287,537,619,583,714,634,727
6.5,20.68,39.37,340,287,537,618,583,714,634,727
6.6,20.68,39.37,338,287,537,618,583,714,635,727
6.6,20.68,39.37,338,287,537,618,583,714,635,727
6.6,20.68,39.37,338,287,537,618,583,714,635,727
7.11,20.68,39.37,338,287,536,618,583,714,635,727
7.11,20.68,39.37,338,287,536,618,583,714,635,727
7.11,20.68,39.37,338,287,536,618,583,714,635,727
7.2,20.68,39.37,339,287,537,618,583,714,634,727
7.3,20.68,39.37,337,287,537,619,583,713,634,727
7.4,20.68,39.37,339,288,536,618,583,714,634,727
7.5,20.68,39.37,337,287,536,619,583,714,635,727
7.6,20.68,39.37,337,287,537,618,583,714,634,727
7.7,20.68,39.37,337,287,536,619,583,714,634,727
7.8,20.68,39.34,340,287,537,618,583,714,635,727
7.9,20.68,39.34,338,287,537,618,583,714,635,727
8.01,20.68,39.34,337,287,537,618,583,714,634,727
8.1,20.68,39.34,340,288,538,618,583,714,635,727
8.2,20.68,39.34,337,287,537,619,583,714,635,728
8.3,20.68,39.34,338,287,537,618,583,714,635,727
8.4,20.68,39.34,339,287,536,618,583,714,635,727
8.5,20.68,39.34,338,288,537,619,583,713,634,727
8.6,20.68,39.34,338,287,537,618,583,714,635,727
8.7,20.68,39.34,338,287,537,619,583,714,635,727
8.8,20.68,39.34,338,287,537,618,583,714,634,727
8.91,20.68,39.34,338,287,538,618,584,714,635,727
9,20.68,39.34,339,287,537,618,584,714,634,727
9.1,20.68,39.34,339,287,537,618,583,713,635,728
9.2,20.68,39.34,339,287,538,619,583,714,635,727
9.31,20.68,39.34,338,288,537,618,583,714,634,727
9.4,20.68,39.34,338,287,536,618,583,713,635,728
9.5,20.68,39.34,338,287,537,619,583,714,634,728
9.6,20.68,39.34,338,287,538,619,583,714,634,728
9.7,20.68,39.34,338,287,537,619,583,714,635,728
9.8,20.68,39.34,338,287,537,619,583,714,635,727
9.9,20.68,39.31,340,287,537,619,584,713,634,727
10,20.68,39.31,338,287,537,619,583,714,635,727
