"Time(s)","Temperature(oC)","Relative_Humidity(%)","TGS2600","TGS2602_1","TGS2602_2","TGS2620_1","TGS2612","TGS2620_2","TGS2611","TGS2610"
3.01,21.69,44.92,333,299,532,597,556,684,613,700
3.1,21.69,44.92,334,298,531,597,556,684,613,700
3.2,21.69,44.92,334,298,531,597,556,685,613,700
3.3,21.69,44.92,333,299,530,596,556,684,613,700
3.4,21.69,44.92,333,299,531,597,556,684,613,700
3.5,21.69,44.92,333,299,530,596,556,684,613,700
3.6,21.69,44.92,333,298,531,596,556,684,613,700
3.7,21.69,44.92,333,299,531,597,555,684,613,700
3.79,21.69,44.92,333,298,531,597,555,684,613,700
3.89,21.68,44.92,333,298,531,596,556,684,612,699
4,21.68,44.92,333,298,531,596,556,684,613,700
4.09,21.68,44.92,335,299,530,596,556,684,613,700
4.2,21.68,44.92,334,299,531,597,556,684,613,700
4.3,21.68,44.92,334,299,530,596,555,684,613,700
4.4,21.68,44.92,333,299,531,596,556,684,613,700
4.5,21.68,44.92,333,299,531,596,555,684,613,700
4.61,21.68,44.92,335,298,530,596,556,684,613,700
4.7,21.68,44.92,333,298,530,596,556,684,613,700
4.8,21.68,44.92,334,299,531,596,556,684,613,699
4.91,21.69,44.92,333,298,530,596,556,683,613,700
5,21.69,44.92,333,299,531,596,556,684,613,700
5.11,21.69,44.92,335,298,531,596,556,684,613,700
5.2,21.69,44.92,335,299,530,596,556,683,613,699
5.3,21.69,44.92,333,298,531,596,556,684,613,699
5.4,21.69,44.92,333,298,531,596,556,684,613,700
5.5,21.69,44.92,334,298,531,595,555,684,613,700
5.6,21.69,44.92,333,299,531,595,556,684,613,700
5.7,21.69,44.92,333,299,531,595,556,684,613,700
5.8,21.69,44.92,333,299,531,595,555,684,613,699
5.9,21.68,44.89,333,299,530,595,555,684,613,700
6,21.68,44.89,334,298,530,595,556,684,613,700
6.1,21.68,44.89,335,298,531,596,556,684,613,699
6.2,21.68,44.89,333,298,530,595,555,684,612,700
6.3,21.68,44.89,335,299,530,595,556,684,613,700
6.41,21.68,44.89,333,299,530,595,556,684,613,700
6.5,21.68,44.89,333,298,531,595,555,683,613,700
6.6,21.68,44.89,333,299,531,595,555,684,613,700
6.7,21.68,44.89,334,299,530,595,556,684,613,700
6.8,21.68,44.89,333,298,531,595,556,683,613,700
6.9,21.69,44.89,333,299,531,595,555,684,613,699
7,21.69,44.89,332,298,531,596,556,683,614,699
7.1,21.69,44.89,333,298,530,596,555,683,613,700
7.21,21.69,44.89,333,298,530,594,555,684,614,700
7.3,21.69,44.89,334,298,530,594,555,684,613,699
7.4,21.69,44.89,336,299,530,594,556,684,613,700
7.5,21.69,44.89,333,298,530,594,556,684,613,700
7.59,21.69,44.89,333,298,531,594,555,683,613,700
