time,Variable,Value,Label
1,X1,331.6615044,1
1,X10,629.8389356,1
1,X11,719.4925002,1
1,X12,572.6201735,1
1,X2,273.0867545,1
1,X3,518.2237926,1
1,X4,331.582395,1
1,X5,273.4156555,1
1,X6,518.8086848,1
1,X7,572.8925668,1
1,X8,566.4521821,1
1,X9,700.7924505,1
2,X1,331.7462911,1
2,X10,630.5791397,1
2,X11,719.5006642,1
2,X12,571.3628109,1
2,X2,274.9245553,1
2,X3,518.5336908,1
2,X4,331.3634778,1
2,X5,274.5802618,1
2,X6,518.1207944,1
2,X7,571.9218526,1
2,X8,566.4274058,1
2,X9,700.7954718,1
3,X1,333.732667,1
3,X10,630.3863664,1
3,X11,719.0090606,1
3,X12,571.8073657,1
3,X2,273.8815609,1
3,X3,518.6820499,1
3,X4,333.3242753,1
3,X5,273.6200084,1
3,X6,518.8278135,1
3,X7,571.1434357,1
3,X8,566.1514015,1
3,X9,701.761899,1
4,X1,331.8414878,1
4,X10,630.0202099,1
4,X11,719.878424,1
4,X12,571.9095116,1
4,X2,273.8428079,1
4,X3,518.7897699,1
4,X4,331.3500319,1
4,X5,273.4434646,1
4,X6,518.7403072,1
4,X7,571.0034852,1
4,X8,565.2002273,1
4,X9,700.8061996,1
5,X1,331.5435495,1
5,X10,630.9143004,1
5,X11,719.0605792,1
5,X12,571.7486014,1
5,X2,274.6652025,1
5,X3,517.300868,1
5,X4,331.3284692,1
5,X5,274.4114426,1
5,X6,517.517084,1
5,X7,571.8717918,1
5,X8,566.0557331,1
5,X9,701.4467735,1
6,X1,332.1053411,1
6,X10,630.5853486,1
6,X11,719.102873,1
6,X12,571.6105871,1
6,X2,274.6518016,1
6,X3,519.1028166,1
6,X4,332.7350048,1
6,X5,274.5840054,1
6,X6,519.3525535,1
6,X7,571.5538338,1
6,X8,566.9442803,1
6,X9,700.7896469,1
7,X1,331.1880713,1
7,X10,630.5262555,1
7,X11,719.9041097,1
7,X12,571.9817166,1
7,X2,274.9476717,1
7,X3,518.6467548,1
7,X4,331.1034461,1
7,X5,274.5874272,1
7,X6,518.4335228,1
7,X7,571.7393235,1
7,X8,566.3849388,1
7,X9,700.9055786,1
8,X1,331.9194196,1
8,X10,630.6958654,1
8,X11,718.086593,1
8,X12,572.4630895,1
8,X2,274.7433803,1
8,X3,518.6024292,1
8,X4,331.2290119,1
8,X5,274.759517,1
8,X6,518.6659452,1
8,X7,572.8842013,1
8,X8,566.2582154,1
