time,X10,X11,X4,X5,X6,X7,X8,X9
1,660,754,341,279,533,627,592,735
2,662,754,341,279,533,626,592,735
3,662,755,341,279,533,627,591,734
4,661,755,342,279,533,626,591,734
5,661,754,341,279,532,625,591,736
6,662,754,341,279,532,626,591,735
7,661,754,341,278,532,625,591,736
8,662,755,342,279,532,626,591,735
9,661,755,342,279,533,626,591,734
10,662,755,343,279,532,626,591,734
11,662,754,341,278,533,625,591,735
12,661,754,342,279,532,625,592,736
13,661,755,341,278,532,625,591,735
14,662,754,341,279,533,625,591,736
15,662,754,341,278,532,625,591,735
16,661,754,343,279,532,625,591,735
17,662,755,342,279,532,625,590,734
18,661,755,341,279,532,625,591,735
19,662,755,341,279,532,625,591,734
20,662,754,342,279,533,624,592,736
21,661,754,341,279,532,625,591,736
22,662,755,342,279,532,625,591,736
23,661,754,341,278,532,624,591,735
24,662,754,342,279,532,625,591,735
25,661,755,341,279,532,625,591,736
26,662,754,344,278,532,625,591,734
27,661,755,342,279,533,625,591,734
28,661,754,342,279,532,624,592,736
29,662,754,341,279,532,625,591,735
30,662,754,342,279,531,625,591,736
31,662,755,341,278,532,625,591,735
32,662,754,341,279,533,625,591,735
33,661,754,341,278,532,624,592,737
34,662,754,341,278,532,624,591,736
35,662,755,341,279,532,624,591,735
36,662,755,341,279,532,624,591,734
37,661,753,341,279,532,623,593,737
38,661,754,341,279,532,623,592,737
39,661,754,343,278,533,624,592,735
40,661,754,341,279,532,624,591,736
41,661,754,344,279,533,625,591,734
42,660,754,341,279,534,625,591,734
43,661,754,341,278,532,624,591,735
44,661,754,341,278,531,624,592,736
45,661,754,341,278,532,624,592,736
46,662,755,341,279,532,624,591,733
47,661,754,340,278,532,624,592,736
48,662,755,341,278,533,624,591,734
49,662,755,340,279,532,624,591,735
50,660,755,342,279,533,625,591,734
51,662,755,342,279,532,624,591,735
52,661,755,342,279,533,625,592,734
53,662,754,341,279,532,623,593,737
54,662,754,343,278,532,623,592,736
55,662,755,341,279,532,623,591,735
56,663,755,341,278,532,624,591,735
57,662,754,341,278,532,624,592,736
58,663,756,342,278,532,624,591,735
59,662,755,341,279,532,624,592,735
60,663,755,341,279,533,624,591,735
61,662,755,343,279,533,623,591,734
62,661,755,343,279,533,625,592,734
63,662,755,342,278,533,623,592,736
64,662,754,342,278,532,623,592,736
65,661,755,341,279,532,623,593,737
66,662,755,341,278,533,623,592,736
67,662,755,341,278,532,623,592,735
68,663,756,344,278,533,624,592,735
69,662,756,341,279,532,624,592,736
70,662,756,342,278,532,623,592,735
71,663,756,341,278,532,623,593,736
72,663,756,341,279,532,624,592,735
73,663,756,341,278,533,623,592,734
74,663,756,343,278,533,624,591,734
75,662,755,340,278,531,623,595,737
76,663,756,341,279,532,624,591,734
77,663,756,341,279,533,624,592,735
78,663,756,342,278,532,623,592,735
79,663,756,341,278,532,624,593,736
80,663,756,342,278,533,623,593,735
81,663,756,342,278,532,624,593,736
82,664,756,341,278,532,624,592,735
83,664,757,342,278,533,624,592,734
84,663,756,342,278,533,624,592,734
85,664,758,342,279,533,624,592,734
86,664,757,343,279,533,624,592,734
87,664,757,343,279,533,624,592,735
88,664,757,342,279,533,624,593,736
89,663,757,343,279,532,624,593,736
90,664,757,342,278,533,624,593,736
91,664,758,342,278,533,625,592,735
92,664,757,342,279,533,624,592,735
93,664,758,343,279,533,624,593,736
94,664,757,342,279,533,625,593,736
95,664,757,342,278,532,624,594,737
96,664,758,343,279,533,624,593,736
97,665,758,341,279,533,624,594,737
98,664,758,342,278,533,625,594,737
99,665,759,343,279,533,625,593,735
100,665,759,342,279,533,625,593,734
101,664,757,342,278,532,624,595,737
102,665,759,343,279,534,625,593,734
103,665,758,342,279,533,625,593,735
104,665,758,344,279,533,624,593,736
105,665,759,342,279,533,625,593,736
106,665,759,344,278,532,625,593,736
107,665,759,342,279,533,624,593,735
108,665,758,341,278,533,624,595,737
109,665,758,342,279,533,624,594,737
110,665,758,342,278,532,624,595,738
111,665,758,341,278,533,624,595,738
112,665,759,341,279,533,625,594,737
113,666,759,342,279,533,625,593,736
114,666,760,342,279,533,625,593,735
115,666,760,342,279,534,624,594,737
116,666,760,342,278,533,625,593,735
117,666,759,345,278,533,625,594,736
118,666,760,342,279,534,625,593,736
119,666,759,342,279,534,625,594,736
120,665,759,342,278,533,624,595,737
121,666,760,341,278,533,624,594,737
122,666,760,343,279,533,625,594,736
123,663,758,342,280,535,626,594,736
124,666,760,342,278,533,625,594,736
125,666,760,343,279,533,625,595,736
126,666,760,342,279,533,624,594,737
127,667,760,344,279,534,625,595,736
128,664,758,344,279,535,627,595,736
129,665,760,343,279,534,625,594,736
130,667,760,344,279,534,625,594,736
131,666,761,342,279,533,625,594,736
132,666,761,342,279,534,626,595,736
133,667,761,344,278,533,625,595,737
134,666,760,342,278,532,624,596,738
135,666,760,342,278,533,625,595,737
136,667,761,344,278,534,625,595,736
137,666,761,342,278,533,625,594,736
138,667,761,342,278,533,625,595,735
139,665,759,342,278,532,625,597,739
140,666,761,342,278,533,625,594,736
141,666,761,342,278,533,625,594,736
142,667,762,342,278,534,625,594,735
143,664,759,342,279,535,627,595,737
144,666,761,342,278,534,626,595,736
145,666,762,342,279,534,625,594,736
146,667,761,342,278,533,625,595,737
147,664,759,342,279,534,627,596,736
148,664,760,342,279,535,627,596,737
149,667,761,343,278,534,625,595,737
150,666,761,343,278,534,627,596,737
151,666,761,343,279,534,626,595,737
152,664,759,341,279,535,627,596,738
153,667,762,344,278,533,626,595,736
154,668,762,343,278,534,625,596,737
155,665,762,343,278,535,627,596,737
156,667,762,342,278,533,626,595,736
157,665,760,344,279,535,626,596,736
158,664,760,342,279,534,626,597,737
159,666,762,342,279,534,626,595,736
160,664,760,343,279,535,627,596,737
161,665,762,342,278,535,626,596,737
162,664,761,342,278,535,627,597,737
163,665,761,343,278,535,626,596,736
164,667,762,342,278,534,626,595,737
165,665,760,343,279,534,626,597,738
166,667,763,342,278,535,627,596,737
167,667,762,343,278,534,625,595,737
168,667,763,343,278,534,626,596,737
169,666,761,344,279,534,626,596,737
170,666,762,342,279,534,626,596,737
171,665,761,342,278,534,627,597,737
172,664,761,343,279,535,627,597,737
173,664,760,343,279,535,627,597,738
174,665,760,343,278,534,627,596,737
175,665,760,341,277,536,628,599,740
176,666,761,344,279,534,627,597,738
177,665,760,342,278,535,627,597,738
178,664,760,343,279,535,627,597,737
179,664,759,342,279,535,627,597,739
180,664,759,344,278,535,627,597,738
181,665,760,344,279,535,627,597,738
182,665,761,343,278,534,627,597,737
183,665,761,343,279,535,627,597,738
184,666,762,343,279,535,627,597,737
185,666,762,343,278,534,627,597,738
186,665,761,343,278,534,627,597,738
187,664,760,342,279,535,627,598,738
188,664,758,341,278,535,627,598,739
189,665,761,342,278,535,627,597,738
190,664,760,342,279,535,627,598,738
191,664,759,341,278,535,627,598,739
192,665,759,340,277,535,628,598,740
193,665,760,340,277,536,629,599,739
194,666,760,343,277,534,628,599,741
195,666,760,343,276,535,628,600,741
196,665,760,340,277,536,628,599,740
197,665,760,340,276,535,628,599,740
198,665,759,341,277,535,628,599,739
199,665,759,341,276,536,628,599,740
200,664,759,341,277,535,628,598,739
201,665,760,341,276,535,629,599,740
202,665,759,342,276,536,628,599,740
203,666,760,342,277,533,626,600,741
204,665,760,341,276,534,628,599,740
205,666,760,341,276,532,626,600,741
206,666,761,343,276,532,626,600,741
207,666,760,341,277,532,626,601,742
208,666,761,341,276,533,627,599,741
209,665,760,343,276,534,628,599,741
210,666,761,341,276,533,626,601,742
211,666,761,341,277,532,625,600,741
212,666,760,340,276,532,626,600,742
213,665,759,340,277,535,628,599,740
214,665,760,340,276,535,629,599,741
215,666,761,341,277,533,627,600,742
216,665,760,341,276,534,628,600,741
217,666,760,341,277,532,626,600,742
218,666,761,341,276,533,625,601,742
219,666,760,341,277,532,625,600,742
220,666,761,341,277,532,625,600,742
221,666,760,341,277,533,625,600,742
222,665,760,340,277,532,627,600,741
223,667,762,341,277,532,624,599,742
224,666,760,341,278,532,625,601,741
225,666,761,341,277,532,626,600,742
226,666,761,342,277,532,624,601,742
227,664,759,340,276,536,629,600,740
228,665,759,341,276,535,629,600,741
229,664,759,342,277,536,629,599,740
230,665,759,340,276,535,629,600,740
231,666,761,342,277,532,624,601,742
232,666,761,342,277,531,625,601,742
233,666,761,341,277,532,625,600,742
234,666,761,342,277,531,624,601,742
235,667,761,342,277,532,624,600,743
236,667,761,341,277,532,625,601,742
237,667,761,342,277,531,624,601,742
238,666,761,341,277,531,624,601,742
239,667,761,342,277,532,625,601,743
240,667,761,341,277,532,624,601,743
241,666,761,341,277,532,624,601,743
242,665,759,341,276,536,630,600,741
243,665,760,341,276,534,629,601,742
244,666,760,341,276,534,628,601,741
245,665,760,341,277,534,628,600,741
246,668,762,342,277,532,625,597,739
247,667,761,343,277,532,624,600,743
248,668,762,343,277,532,625,597,739
249,666,761,343,277,532,624,601,742
250,667,761,342,277,532,625,602,743
251,665,759,341,276,536,629,600,741
252,668,762,342,277,533,624,597,740
253,666,761,342,277,533,624,601,742
254,666,761,341,276,533,624,601,742
255,667,761,342,276,532,624,601,742
256,665,760,342,277,533,627,601,742
257,666,760,341,276,534,627,601,742
258,665,760,341,277,533,628,600,741
259,665,760,341,277,534,628,600,742
260,666,761,342,277,533,624,600,742
261,667,761,342,277,532,624,600,742
262,666,761,342,277,532,624,600,742
263,665,760,341,277,533,628,601,742
264,666,760,341,277,532,627,601,741
265,666,761,342,277,531,624,600,743
266,667,761,341,277,532,624,600,742
267,667,762,344,277,532,625,598,741
268,667,762,342,277,532,625,598,740
269,667,761,342,277,532,624,600,742
270,667,761,343,277,532,624,599,742
271,668,762,342,278,532,625,598,740
