time(s),sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12
0,0.0,0.015632791552110267,0.0,0.0908564506863392,0.0,0.0,0.012588129381263963,0.0,0.02181099476545823,0.0,0.0,0.0
1,0.03189021846893834,0.08855770816950449,0.0,0.22851485722177053,0.0013038795664282767,0.0,0.0,0.014748765748923488,0.0,0.0,0.05850727891568302,0.09739064969382956
2,0.02790412922001377,0.17816847864668517,0.14995140293927778,0.09605315728124379,0.1221798597064405,0.0,0.0,0.0,0.0,0.0,0.15801130149714035,0.06500377855882916
3,0.10105152848065264,0.0,0.0,0.0,0.0,0.0,0.00956468592869249,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.15299979810812658,0.0,0.020172502135488483,0.0,0.0,0.06397870811226446,0.0,0.01625906230178262,0.07509005425609529,0.0
5,0.0,0.0,0.036807394657107785,0.039707759949066834,0.0,0.0,0.0,0.10259552398235768,0.0,0.1356896332311868,0.0032583769323747008,0.0
6,0.0,0.04337496859609623,0.0,0.004449683571203692,0.0,0.1546338832209564,0.010871163672363501,0.0,0.04795810740154895,0.0,0.0,0.11335366032938061
7,0.0,0.021566877093361858,0.03934430472833983,0.0686873418972168,0.2400190121207334,0.0,0.0,0.0,0.10935191591934397,0.0,0.043154912394809765,0.06518354881780104
8,0.0,0.0,0.11508019570579198,0.07970167048338736,0.13136310462377385,0.0,0.10811855219888239,0.06089459953982035,0.1198952278404588,0.0,0.10515367265099257,0.0
9,0.09503696823969032,0.0,0.008208825049054352,0.0,0.1873910957280465,0.0,0.04916365056610465,0.0,0.0,0.06018264350229165,0.0,0.20472475560045802
10,0.08164450809513274,0.0,0.0,0.12810775447164946,0.28847208468918495,0.0,0.0,0.0,0.0,0.0,0.02468205864350309,0.0
11,0.0,0.09878615824065093,0.0,0.0,0.12864453916707158,0.09609024295675826,0.0,0.04980823446286324,0.0,0.09880002763666235,0.0,0.07335129765980868
12,0.0,0.04592041815995293,0.0,0.0,0.0,0.0595551478469406,0.06813659586414657,0.0,0.2141472267677037,0.011766400787542378,0.0,0.0
13,0.0,0.09177681977951374,0.0807640580885491,0.0,0.08829548098538265,0.08110992979735565,0.0721757429663724,0.0,0.12919654238950662,0.011983864478451492,0.0,0.0
14,0.0,0.0,0.0,0.08085764059905831,0.19112012665661895,0.0,0.0,0.0,0.004870631482223748,0.0,0.0,0.0
15,0.0,0.0,0.06811620645961634,0.0,0.05337408646816036,0.0,0.03572692084983452,0.0,0.0,0.0,0.09222826817940044,0.0
16,0.0,0.0,0.002819907572023542,0.0,0.0,0.11334357221740538,0.0,0.0,0.0,0.045985034961632615,0.0,0.0
17,0.05977204669126083,0.035891758374065955,0.07454953375768243,0.0,0.13737209622841337,0.08262741398677673,0.016449597377919966,0.0,0.08856152697033098,0.02299129523005502,0.0,0.0
18,0.25594880310377927,0.0,0.0,0.0,0.0,0.0,0.0,0.15616362558152838,0.0,0.20138631491503994,0.04495123932017226,0.0
19,0.03942330218796011,0.18486630689665504,0.0,0.0,0.014145339709474165,0.08530402684490773,0.0,0.0,0.0,0.0,0.12647009286427746,0.0
20,0.012221916522267957,0.0,0.0,0.0,0.07588528748712475,0.0,0.08632072375363303,0.08347805679361268,0.06702690009234345,0.09911054435993966,0.035497224390183955,0.0
21,0.0,0.02736601192125019,0.18662730762681679,0.0,0.0,0.0,0.11814040697600021,0.0,0.0026505948077286956,0.013023339009911428,0.0,0.22842241289834472
22,0.0,0.15668547072137862,0.0,0.06641932702735924,0.06255024250463252,0.0,0.0,0.03258155558574959,0.004397472260212244,0.0,0.0,0.03441414865684384
23,0.09474398210466389,0.059908975926380906,0.0,0.055387590093322704,0.06525091553665206,0.036147043300364494,0.0,0.06470264624202425,0.0021681147632145055,0.0,0.0,0.005024072290943992
24,0.02910340012621822,0.017567371249177934,0.21507306884960503,0.12567504975465832,0.0560058647324185,0.021671787443806684,0.06777075161295114,0.1530399939689293,0.0,0.0,0.0,0.13309047969245488
25,0.0,0.0,0.04286371027612596,0.10339758172966207,0.0,0.0,0.0,0.03929197898185435,0.0,0.0,0.1420131537236451,0.21787113049370488
26,0.0,0.0,0.0859630094362937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04231280321241319,0.0
27,0.0,0.0770050108917586,0.0,0.0019071400753713184,0.0,0.2414548603862906,0.05460354386882023,0.006577408229906168,0.0,0.09018011109655072,0.0,0.036036918359001795
28,0.0,0.15061472407749465,0.11789867406346338,0.0,0.0,0.0,0.0,0.19184767815032625,0.0,0.0,0.049668506776667905,0.0
29,0.0,0.0,0.13313949355150587,0.0,0.13761760396023234,0.13880670145339766,0.0,0.016345299062465426,0.14985131132664659,0.027289121387542182,0.19984816676999914,0.05822783979465086
30,0.0,0.0,0.050159824772256535,0.0,0.05411515135505596,0.0,0.0,0.0,0.023647511912197425,0.0,0.0,0.01820336744465675
31,0.03893489132561233,0.0,0.0,0.0,0.0168586552348317,0.0,0.0,0.0,0.023116315937150484,0.03887274192213691,0.0,0.0
32,0.0,0.0,0.05594272545655826,0.0,0.0,0.14166595098063903,0.15570503720518783,0.0,0.07167948784846599,0.0,0.0,0.09997488132787646
33,0.10919922643576713,0.0,0.0,0.051232505420516695,0.012888313596361514,0.07899641204159968,0.23545930335327947,0.07299684483570186,0.06090093492099838,0.06759476008598782,0.0,0.0
34,0.27783130415524404,0.15991232408367342,0.10886339009915547,0.0463641629535848,0.010875051384922015,0.0,0.03360365264549399,0.0,0.015783195937787334,0.09669036036362796,0.03785250312171626,0.03560006315736273
35,0.11936397242823174,0.06731336922329685,0.0,0.0,0.0,0.11337141117526117,0.009498122263528934,0.0,0.0,0.0,0.0,0.08529727208242026
36,0.02186383160538625,0.0305085404706753,0.0,0.05185967344575301,0.10500924547564686,0.2520306516175237,0.0,0.021352083580373275,0.0,0.192325354281115,0.0,0.08444997843543739
37,0.08817610389486107,0.0,0.13175548705658743,0.017858720645376372,0.0,0.0,0.0,0.0,0.03536202610863139,0.0,0.0,0.0
38,0.0,0.0,0.10975622504266708,0.06233731816446291,0.0,0.047173664674525134,0.11617378536000954,0.009091975689360578,0.15127068536216162,0.03622168010611978,0.20496232178024157,0.0
39,0.0,0.14056475975079638,0.0,0.10668655876415895,0.11115503984202464,0.0,0.0,0.014758751959256886,0.0,0.07646872357970083,0.0,0.0
40,0.0773700416833682,0.02007385407583895,0.0,0.0,0.15041227386956663,0.0,0.0660534845216236,0.021449056023456314,0.08125928380588204,0.0,0.11345439550004577,0.0
41,0.0,0.0,0.06401133507918125,0.12455882369800797,0.02789972900269766,0.0,0.23862629518003292,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.15923331460185985,0.0,0.07975841973348763,0.0405905211913399,0.0,0.07406431415858705,0.04667110181462766
43,0.0,0.0,0.14193462322275133,0.0,0.13222805504945007,0.0,0.0,0.0,0.0,0.0457629137562529,0.005633133438836479,0.0
44,0.0,0.0,0.011792507680331835,0.04287721901355412,0.021152727293344598,0.050785935846679564,0.04801510161974679,0.0,0.0,0.058403462305423454,0.07772425390935125,0.009527503424769183
45,0.013442888262802192,0.05629106602850852,0.14129175737918528,0.0,0.012314878164920294,0.0,0.12856003616111358,0.0,0.00838623873867418,0.13956006055013634,0.10882773974269387,0.09547717243066883
46,0.05821227947130392,0.0,0.0,0.02616325646189695,0.1544775885488835,0.17724949515679936,0.0,0.003989397759892035,0.05381229961972655,0.12432557936913369,0.0,0.10957992665401657
47,0.08877484595933573,0.0,0.0,0.19929821198444916,0.08347962610901312,0.0,0.0959364385237117,0.019017748155954715,0.1147640555399456,0.12308399395614154,0.0,0.0
48,0.08943323301087615,0.13134731613252368,0.10341529977218716,0.03934950735039757,0.0,0.0,0.12475582852476284,0.0036229950091482502,0.0,0.08741043237538043,0.03427976646991552,0.0
49,0.07549977972447358,0.0,0.0,0.021216953886411958,0.0,0.15695093044942368,0.03822232165506356,0.0,0.04988133887698749,0.07973699420109212,0.13043500799350582,0.0
50,0.0,0.18641995258873498,0.0,0.0,0.0,0.08768000823122145,0.0,0.11279369329965704,0.031048681869849534,0.0,0.0,0.0
51,0.0,0.0,0.05614719778717569,0.0,0.04738558503001142,0.055422698436267064,0.08074510876124183,0.05834403453973597,0.04093582534711679,0.0,0.0,0.0
52,0.0,0.008919819661257138,0.0,0.0,0.06375082458459307,0.0805811955505784,0.0,0.0,0.0,0.0,0.0018869273193929887,0.0
53,0.10996469757848204,0.0,0.14421342627087938,0.10668702466081964,0.0,0.0,0.0,0.0,0.0517104962647026,0.13987571929341433,0.02192493306943239,0.0
54,0.0,0.012341913350096106,0.01842084426511425,0.0,0.0,0.07417132055381365,0.0,0.0,0.18932889189470337,0.004765667513463171,0.0,0.0
55,0.0,0.0444591995073129,0.0,0.040146249920536906,0.0,0.0,0.02810070495909647,0.0,0.017227017659151387,0.03339275344075445,0.13364697100771503,0.0
56,0.11797163447007009,0.043383524008887654,0.11451880569815648,0.14264972727185826,0.03463999609169216,0.036092469916225944,0.01762308612500086,0.1456854803689644,0.0,0.0,0.0,0.0017171348337523828
57,0.0,0.0,0.11627853918188708,0.140151631323036,0.0,0.048455292626129166,0.0,0.0,0.0,0.0,0.04551805988207822,0.0
58,0.08347954192304284,0.0,0.00037324092913725926,0.04288158876017825,0.0,0.0,0.0,0.2763913882865618,0.02157646100279849,0.09736063924034426,0.0,0.0
59,0.029656138432897074,0.2503171790905711,0.22754087236928894,0.017010647865734287,0.0,0.059382259584082865,0.059497756174185484,0.0,0.0,0.033056768022872766,0.0,0.28607573894507937
60,0.0,0.0,0.22523447959814252,0.0,0.06729160306609926,0.0,0.0,0.0368774941435912,0.16467772240261674,0.0,0.0,0.08225420455823118
61,0.0,0.06992124386719865,0.03233486563033481,0.0,0.03838878185465621,0.0,0.0,0.022620678690786794,0.0,0.0,0.0,0.0
62,0.09729635337557875,0.0,0.10654061017940906,0.0,0.0,0.0,0.11359421922088411,0.0036253078855677657,0.1373727198046697,0.19788581931479643,0.06678140648647456,0.10789784247751216
63,0.07955954638959417,0.0,0.1308805224450165,0.0,0.015424503492418097,0.002002511411517442,0.09296207030528894,0.0,0.0,0.0,0.0,0.14329165417569384
64,0.14954342528834738,0.0,0.0,0.02484532629527643,0.06754952854542731,0.059363189126796216,0.0,0.0,0.0,0.012108158719644796,0.08532146925824413,0.02912236818298082
65,0.03381812519933197,0.04728150699278325,0.028671626455601885,0.1911648183486101,0.030367870741979188,0.0,0.0,0.019557247986105728,0.062002030771027686,0.0,0.0,0.0
66,0.3372296253626673,0.0,0.0,0.15177615926616167,0.0,0.03881362298766596,0.0,0.0,0.0,0.02079358856744519,0.06682894118917543,0.0
67,0.0,0.016614061307833064,0.0,0.024387986183120713,0.23085332490404534,0.0,0.0,0.12090501806663788,0.0,0.12040573685036554,0.0,0.0
68,0.0,0.0,0.012160681456946392,0.07794340720248286,0.05377378943889815,0.08098734464104913,0.09446656357659639,0.0,0.0,0.24822091633712984,0.0686799469866767,0.0
69,0.0,0.032434571119492384,0.019674126045260296,0.0,0.1123349184394479,0.0,0.03609377566698919,0.025500668113198028,0.0,0.147666219813673,0.07259907712303815,0.10239351913148981
